"MAGs" "V7" "V3" "V5" "V6"
"127" "TP20200812-DBC103_DT2009055326-1_bin.89" "label" "#0000CD" "normal" "1"
"128" "TP20200812-DBC105_DT2009055328-1_bin.40" "label" "#0000CD" "normal" "1"
"129" "TP20200812-DBC27_DT2009055250-1_bin.89" "label" "#0000CD" "normal" "1"
"130" "TP20200812-DBC28_DT2009055251-1_bin.216" "label" "#0000CD" "normal" "1"
"131" "TP20200812-DBC34_DT2009055257-1_bin.322" "label" "#0000CD" "normal" "1"
"132" "TP20200812-DBC45_DT2009055268-1_bin.204" "label" "#0000CD" "normal" "1"
"133" "TP20200812-DBC48_DT2009055271-1_bin.18" "label" "#0000CD" "normal" "1"
"134" "TP20200812-DBC49_DT2009055272-1_bin.446" "label" "#0000CD" "normal" "1"
"135" "TP20200812-DBC62_DT2009055285-1_bin.266" "label" "#0000CD" "normal" "1"
"136" "TP20200812-DBC66_DT2009055289-1_bin.67" "label" "#0000CD" "normal" "1"
"137" "TP20200812-DBC71_DT2009055294-1_bin.19" "label" "#0000CD" "normal" "1"
"138" "TP20200812-DBC73_DT2009055296-1_bin.68" "label" "#0000CD" "normal" "1"
"139" "TP20200812-DBC75_DT2009055298-1_bin.8" "label" "#0000CD" "normal" "1"
"140" "TP20200812-DBC77_DT2009055300-1_bin.305" "label" "#0000CD" "normal" "1"
"141" "TP20200812-DBC85_DT2009055308-1_bin.282" "label" "#0000CD" "normal" "1"
"142" "TP20200812-DBC88_DT2009055311-1_bin.202" "label" "#0000CD" "normal" "1"
"143" "TP20200814-DZC15_DT2009055343-1_bin.87" "label" "#33FFCC" "normal" "1"
"144" "TP20200814-DZC18_DT2009055346-1_bin.262" "label" "#33FFCC" "normal" "1"
"145" "TP20200814-DZC26_DT2009055354-1_bin.37" "label" "#33FFCC" "normal" "1"
"146" "TP20200814-DZC41_DT2009055369-1_bin.85" "label" "#0000CD" "normal" "1"
"147" "TP20200814-DZC67_DT2009055395-1_bin.255" "label" "#33FFCC" "normal" "1"
"148" "TP20200814-DZC74_DT2009055402-1_bin.333" "label" "#0000CD" "normal" "1"
"149" "TP20200814-DZC77_DT2009055405-1_bin.244" "label" "#33FFCC" "normal" "1"
"150" "TP20200814-DZC9_DT2009055337-1_bin.141" "label" "#33FFCC" "normal" "1"
"151" "T1900045083_TC20190077_bin.109" "label" "#00FF00" "normal" "1"
"152" "T1900045159_TC20190153_bin.115" "label" "#00FF00" "normal" "1"
"153" "T1900045166_TC20190160_bin.144" "label" "#00FF00" "normal" "1"
"154" "T1900045179_TC20190175_bin.32" "label" "#00FF00" "normal" "1"
"155" "T1900045774_TC20190228_bin.147" "label" "#00FF00" "normal" "1"
"156" "T1900044581_TS20190047_bin.193" "label" "#33FFCC" "normal" "1"
"157" "T1900044583_TS20190049_bin.195" "label" "#33FFCC" "normal" "1"
"158" "T1900044586_TS20190052_bin.114" "label" "#33FFCC" "normal" "1"
"159" "T1900044593_TS20190059_bin.21" "label" "#33FFCC" "normal" "1"
"160" "T1900044595_TS20190061_bin.106" "label" "#33FFCC" "normal" "1"
"161" "T1900044602_TS20190068_bin.214" "label" "#33FFCC" "normal" "1"
"162" "T1900044604_TS20190070_bin.122" "label" "#33FFCC" "normal" "1"
"163" "T1900044605_TS20190071_bin.269" "label" "#33FFCC" "normal" "1"
"164" "T1900044608_TS20190074_bin.19" "label" "#33FFCC" "normal" "1"
"165" "T1900044622_TS20190088_bin.287" "label" "#33FFCC" "normal" "1"
"166" "T1900044634_TS20190100_bin.180" "label" "#33FFCC" "normal" "1"
"167" "T1900044637_TS20190103_bin.177" "label" "#33FFCC" "normal" "1"
"168" "T1900044646_TS20190112_bin.221" "label" "#33FFCC" "normal" "1"
"169" "T1900044653_TS20190119_bin.225" "label" "#33FFCC" "normal" "1"
"170" "T1900044661_TS20190127_bin.516" "label" "#33FFCC" "normal" "1"
"171" "T1900044665_TS20190131_bin.127" "label" "#33FFCC" "normal" "1"
"172" "T1900044670_TS20190136_bin.368" "label" "#33FFCC" "normal" "1"
"173" "T1900044677_TS20190143_bin.338" "label" "#33FFCC" "normal" "1"
"174" "T1900044678_TS20190144_bin.67" "label" "#33FFCC" "normal" "1"
"175" "T1900044680_TS20190146_bin.290" "label" "#33FFCC" "normal" "1"
"176" "T1900044699_TS20190165_bin.95" "label" "#33FFCC" "normal" "1"
"177" "T1900044708_TS20190174_bin.163" "label" "#33FFCC" "normal" "1"
"178" "T1900044740_TS20190206_bin.225" "label" "#33FFCC" "normal" "1"
"179" "T1900044746_TS20190212_bin.38" "label" "#33FFCC" "normal" "1"
"180" "T1900044747_TS20190213_bin.139" "label" "#33FFCC" "normal" "1"
"181" "T1900044752_TS20190418_bin.435" "label" "#33FFCC" "normal" "1"
"182" "T1900044799_TS20190265_bin.52" "label" "#33FFCC" "normal" "1"
"183" "T1900044804_TS20190270_bin.125" "label" "#33FFCC" "normal" "1"
"184" "T1900044807_TS20190273_bin.301" "label" "#33FFCC" "normal" "1"
"185" "T1900044809_TS20190275_bin.76" "label" "#33FFCC" "normal" "1"
"186" "T1900044812_TS20190278_bin.199" "label" "#33FFCC" "normal" "1"
"187" "T1900044818_TS20190284_bin.43" "label" "#33FFCC" "normal" "1"
"188" "T1900044821_TS20190287_bin.67" "label" "#33FFCC" "normal" "1"
"189" "T1900044829_TS20190295_bin.38" "label" "#33FFCC" "normal" "1"
"190" "T1900044831_TS20190297_bin.54" "label" "#33FFCC" "normal" "1"
"191" "T1900044833_TS20190299_bin.106" "label" "#33FFCC" "normal" "1"
"192" "T1900044834_TS20190300_bin.19" "label" "#33FFCC" "normal" "1"
"193" "T1900044841_TS20190307_bin.221" "label" "#33FFCC" "normal" "1"
"194" "T1900044844_TS20190310_bin.89" "label" "#33FFCC" "normal" "1"
"195" "T1900044846_TS20190312_bin.150" "label" "#33FFCC" "normal" "1"
"196" "T1900044848_TS20190314_bin.261" "label" "#33FFCC" "normal" "1"
"197" "T1900044850_TS20190316_bin.271" "label" "#33FFCC" "normal" "1"
"198" "T1900044851_TS20190317_bin.120" "label" "#33FFCC" "normal" "1"
"199" "T1900044859_TS20190325_bin.118" "label" "#33FFCC" "normal" "1"
"200" "T1900044863_TS20190329_bin.1" "label" "#33FFCC" "normal" "1"
"201" "T1900044865_TS20190331_bin.159" "label" "#33FFCC" "normal" "1"
"202" "T1900044926_TS20190392_bin.232" "label" "#33FFCC" "normal" "1"
"203" "T1900044928_TS20190394_bin.235" "label" "#33FFCC" "normal" "1"
