"MAGs" "V7" "V3" "V5" "V6"
"1" "T1900045313_YK20190002_bin.31" "label" "#336600" "normal" "1"
"2" "T1900045316_YK20190005_bin.10" "label" "#336600" "normal" "1"
"3" "T1900045321_YK20190010_bin.175" "label" "#336600" "normal" "1"
"4" "T1900045322_YK20190011_bin.120" "label" "#336600" "normal" "1"
"5" "T1900045325_YK20190014_bin.260" "label" "#336600" "normal" "1"
"6" "T1900045326_YK20190015_bin.286" "label" "#336600" "normal" "1"
"7" "T1900045327_YK20190016_bin.110" "label" "#336600" "normal" "1"
"8" "T1900045328_YK20190017_bin.149" "label" "#336600" "normal" "1"
"9" "T1900045329_YK20190018_bin.251" "label" "#336600" "normal" "1"
"10" "T1900045332_YK20190021_bin.335" "label" "#336600" "normal" "1"
"11" "T1900045333_YK20190022_bin.225" "label" "#336600" "normal" "1"
"12" "T1900045336_YK20190025_bin.71" "label" "#336600" "normal" "1"
"13" "T1900045339_YK20190028_bin.75" "label" "#336600" "normal" "1"
"14" "T1900045340_YK20190030_bin.136" "label" "#336600" "normal" "1"
"15" "T1900045341_YK20190031_bin.20" "label" "#336600" "normal" "1"
"16" "T1900045345_YK20190035_bin.262" "label" "#336600" "normal" "1"
"17" "T1900045349_YK20190039_bin.248" "label" "#336600" "normal" "1"
"18" "T1900045351_YK20190041_bin.153" "label" "#336600" "normal" "1"
"19" "T1900045353_YK20190043_bin.176" "label" "#336600" "normal" "1"
"20" "T1900045355_YK20190045_bin.103" "label" "#336600" "normal" "1"
"21" "T1900045356_YK20190046_bin.276" "label" "#336600" "normal" "1"
"22" "T1900045357_YK20190047_bin.186" "label" "#336600" "normal" "1"
"23" "T1900045358_YK20190048_bin.102" "label" "#336600" "normal" "1"
"24" "T1900045360_YK20190050_bin.84" "label" "#336600" "normal" "1"
"25" "T1900045410_YK20190100_bin.220" "label" "#336600" "normal" "1"
"26" "T1900045416_YK20190106_bin.10" "label" "#336600" "normal" "1"
"27" "T1900045418_YK20190108_bin.99" "label" "#336600" "normal" "1"
"28" "T1900045422_YK20190112_bin.63" "label" "#336600" "normal" "1"
"29" "T1900045457_YK20190148_bin.31" "label" "#336600" "normal" "1"
"30" "T1900045464_YK20190155_bin.109" "label" "#336600" "normal" "1"
"31" "T1900045465_YK20190156_bin.143" "label" "#336600" "normal" "1"
"32" "T1900045466_YK20190157_bin.263" "label" "#336600" "normal" "1"
"33" "T1900045468_YK20190159_bin.99" "label" "#336600" "normal" "1"
"34" "T1900045471_YK20190162_bin.144" "label" "#336600" "normal" "1"
"35" "T1900045475_YK20190169_bin.331" "label" "#336600" "normal" "1"
"36" "T1900045479_YK20190173_bin.33" "label" "#336600" "normal" "1"
"37" "T1900045481_YK20190175_bin.296" "label" "#336600" "normal" "1"
"38" "T1900045493_YK20190187_bin.349" "label" "#336600" "normal" "1"
"39" "T1900045499_YK20190193_bin.65" "label" "#336600" "normal" "1"
"40" "T1900045500_YK20190194_bin.371" "label" "#336600" "normal" "1"
"41" "T1900045504_YK20190198_bin.182" "label" "#336600" "normal" "1"
"42" "T1900045506_YK20190200_bin.323" "label" "#336600" "normal" "1"
"43" "T1900045507_YK20190201_bin.133" "label" "#336600" "normal" "1"
"44" "T1900045511_YK20190205_bin.105" "label" "#336600" "normal" "1"
"45" "T1900045512_YK20190206_bin.38" "label" "#336600" "normal" "1"
"46" "T1900045514_YK20190208_bin.161" "label" "#336600" "normal" "1"
"47" "T1900045516_YK20190210_bin.272" "label" "#336600" "normal" "1"
"48" "T1900045525_YK20190219_bin.174" "label" "#336600" "normal" "1"
"49" "T1900045527_YK20190221_bin.127" "label" "#336600" "normal" "1"
"50" "T1900045529_YK20190223_bin.162" "label" "#336600" "normal" "1"
"51" "T1900045535_YK20190229_bin.54" "label" "#336600" "normal" "1"
"52" "T1900045540_YK20190234_bin.88" "label" "#336600" "normal" "1"
"53" "T1900045542_YK20190236_bin.461" "label" "#336600" "normal" "1"
"54" "T1900045543_YK20190237_bin.33" "label" "#336600" "normal" "1"
"55" "T1900045549_YK20190243_bin.104" "label" "#336600" "normal" "1"
"56" "T1900045550_YK20190244_bin.184" "label" "#336600" "normal" "1"
"57" "T1900045554_YK20190248_bin.127" "label" "#336600" "normal" "1"
"58" "T1900045562_YK20190256_bin.88" "label" "#336600" "normal" "1"
"59" "T1900045564_YK20190258_bin.274" "label" "#336600" "normal" "1"
"60" "T1900045566_YK20190260_bin.111" "label" "#336600" "normal" "1"
"61" "T1900045571_YK20190265_bin.333" "label" "#336600" "normal" "1"
"62" "T1900045572_YK20190266_bin.116" "label" "#336600" "normal" "1"
"63" "T1900045573_YK20190267_bin.287" "label" "#336600" "normal" "1"
"64" "T1900045627_YK20190321_bin.200" "label" "#336600" "normal" "1"
"65" "T1900045635_YK20190329_bin.99" "label" "#336600" "normal" "1"
"66" "T1900045636_YK20190330_bin.271" "label" "#336600" "normal" "1"
"67" "T1900045641_YK20190335_bin.22" "label" "#336600" "normal" "1"
"68" "T1900045645_YK20190339_bin.176" "label" "#336600" "normal" "1"
"69" "T1900045652_YK20190346_bin.119" "label" "#336600" "normal" "1"
"70" "T1900045654_YK20190348_bin.49" "label" "#336600" "normal" "1"
"71" "T1900045656_YK20190350_bin.179" "label" "#336600" "normal" "1"
"72" "T1900045659_YK20190353_bin.296" "label" "#336600" "normal" "1"
"73" "T1900045665_YK20190359_bin.322" "label" "#336600" "normal" "1"
"74" "T1900045669_YK20190363_bin.335" "label" "#336600" "normal" "1"
"75" "T1900045677_YK20190371_bin.164" "label" "#336600" "normal" "1"
"76" "T1900045678_YK20190372_bin.196" "label" "#336600" "normal" "1"
"77" "T1900045683_YK20190377_bin.12" "label" "#336600" "normal" "1"
"78" "T1900045686_YK20190380_bin.322" "label" "#336600" "normal" "1"
"79" "T1900045694_YK20190388_bin.29" "label" "#336600" "normal" "1"
"80" "T1900045695_YK20190389_bin.329" "label" "#336600" "normal" "1"
"81" "T1900045699_YK20190393_bin.42" "label" "#336600" "normal" "1"
"82" "T1900045710_YK20190404_bin.119" "label" "#336600" "normal" "1"
"83" "T1900045711_YK20190405_bin.292" "label" "#336600" "normal" "1"
"84" "T1900045713_YK20190407_bin.386" "label" "#336600" "normal" "1"
"85" "T1900045717_YK20190411_bin.208" "label" "#336600" "normal" "1"
"86" "T1900045722_YK20190416_bin.27" "label" "#336600" "normal" "1"
"87" "T1900045728_YK20190422_bin.147" "label" "#336600" "normal" "1"
"88" "T1900045732_YK20190426_bin.195" "label" "#336600" "normal" "1"
"89" "T1900045740_YK20190434_bin.163" "label" "#336600" "normal" "1"
"90" "T1900045744_YK20190438_bin.114" "label" "#336600" "normal" "1"
"91" "T1900045746_YK20190440_bin.186" "label" "#336600" "normal" "1"
"92" "T1900045753_YK20190447_bin.363" "label" "#336600" "normal" "1"
"93" "T1900045755_YK20190449_bin.251" "label" "#336600" "normal" "1"
"94" "T1900045756_YK20190450_bin.156" "label" "#336600" "normal" "1"
"95" "T1900045758_YK20190452_bin.14" "label" "#336600" "normal" "1"
"96" "T1900045771_YK20190465_bin.2" "label" "#336600" "normal" "1"
"97" "T2001009370_Yak-NA_bin.444" "label" "#336600" "normal" "1"
"98" "TP20200814-DZC104_DT2009055432-1_bin.363" "label" "#33FFCC" "normal" "1"
"99" "TP20200814-DZC110_DT2009055438-1_bin.103" "label" "#0000CD" "normal" "1"
"100" "TP20200814-DZC111_DT2009055439-1_bin.129" "label" "#33FFCC" "normal" "1"
"101" "TP20200814-DZC135_DT2009055463-1_bin.40" "label" "#33FFCC" "normal" "1"
"102" "TP20200815-DZC40_DT2009055510-1_bin.57" "label" "#33FFCC" "normal" "1"
"103" "TP20200823-QMN43_DT2009055556-1_bin.1" "label" "#0000CD" "normal" "1"
"104" "TP20200823-QMN50_DT2009055557-1_bin.5" "label" "#0000CD" "normal" "1"
"105" "TP20200823-QMN58_DT2009055558-1_bin.197" "label" "#0000CD" "normal" "1"
"106" "TP20200824-WDL1_DT2009055561-1_bin.114" "label" "#0000CD" "normal" "1"
"107" "TP20200824-WDL39_DT2009055568-1_bin.176" "label" "#0000CD" "normal" "1"
"108" "TP20200824-WDL5_DT2009055562-1_bin.185" "label" "#0000CD" "normal" "1"
"109" "TP20200824-WDL72_DT2009055581-1_bin.322" "label" "#0000CD" "normal" "1"
"110" "TP20200824-WDL73_DT2009055582-1_bin.54" "label" "#0000CD" "normal" "1"
"111" "TP20200824-WDL78_DT2009055587-1_bin.159" "label" "#0000CD" "normal" "1"
"112" "TP20200824-WDL81_DT2009055590-1_bin.154" "label" "#0000CD" "normal" "1"
"113" "TP20200825-WDL105_DT2009055616-1_bin.81" "label" "#0000CD" "normal" "1"
"114" "TP20200825-WDL108_DT2009055617-1_bin.113" "label" "#0000CD" "normal" "1"
"115" "TP20200825-WDL112_DT2009055618-1_bin.147" "label" "#0000CD" "normal" "1"
"116" "TP20200825-WDL119_DT2009055619-1_bin.191" "label" "#0000CD" "normal" "1"
"117" "TP20200825-WDL19_DT2009055595-1_bin.220" "label" "#0000CD" "normal" "1"
"118" "TP20200825-WDL45_DT2009055600-1_bin.67" "label" "#0000CD" "normal" "1"
"119" "TP20200825-WDL48_DT2009055601-1_bin.111" "label" "#0000CD" "normal" "1"
"120" "TP20200825-WDL51_DT2009055604-1_bin.37" "label" "#0000CD" "normal" "1"
"121" "TP20200825-WDL57_DT2009055605-1_bin.223" "label" "#0000CD" "normal" "1"
"122" "TP20200825-WDL73_DT2009055608-1_bin.36" "label" "#0000CD" "normal" "1"
"123" "TP20200825-WDL7_DT2009055593-1_bin.16" "label" "#0000CD" "normal" "1"
"124" "TP20200825-WDL87_DT2009055612-1_bin.82" "label" "#0000CD" "normal" "1"
"125" "TP20200825-WDL92_DT2009055613-1_bin.95" "label" "#0000CD" "normal" "1"
"126" "TP20200825-WDL96_DT2009055614-1_bin.4" "label" "#0000CD" "normal" "1"
