"SGB" "V4" "V3" "V5" "V6"
"67" "SGB_2222" "clade" "#33FFCC" "normal" "1"
"68" "SGB_2384" "clade" "#33FFCC" "normal" "1"
"69" "SGB_2221" "clade" "#33FFCC" "normal" "1"
"70" "SGB_2192" "clade" "#33FFCC" "normal" "1"
"71" "SGB_2640" "clade" "#33FFCC" "normal" "1"
"72" "SGB_2211" "clade" "#33FFCC" "normal" "1"
"73" "SGB_2673" "clade" "#33FFCC" "normal" "1"
"74" "SGB_2669" "clade" "#33FFCC" "normal" "1"
"75" "SGB_2561" "clade" "#33FFCC" "normal" "1"
"76" "SGB_2696" "clade" "#33FFCC" "normal" "1"
"77" "SGB_2181" "clade" "#33FFCC" "normal" "1"
"78" "SGB_2714" "clade" "#33FFCC" "normal" "1"
"79" "SGB_2204" "clade" "#33FFCC" "normal" "1"
"80" "SGB_2694" "clade" "#33FFCC" "normal" "1"
"81" "SGB_2710" "clade" "#33FFCC" "normal" "1"
"82" "SGB_2216" "clade" "#33FFCC" "normal" "1"
"83" "SGB_2215" "clade" "#33FFCC" "normal" "1"
"84" "SGB_2234" "clade" "#33FFCC" "normal" "1"
"85" "SGB_2193" "clade" "#33FFCC" "normal" "1"
"86" "SGB_2581" "clade" "#336600" "normal" "1"
"87" "SGB_2628" "clade" "#336600" "normal" "1"
"88" "SGB_2583" "clade" "#336600" "normal" "1"
"89" "SGB_2619" "clade" "#336600" "normal" "1"
"90" "SGB_2491" "clade" "#336600" "normal" "1"
"91" "SGB_2590" "clade" "#336600" "normal" "1"
"92" "SGB_2592" "clade" "#336600" "normal" "1"
"93" "SGB_2574" "clade" "#336600" "normal" "1"
"94" "SGB_2534" "clade" "#336600" "normal" "1"
"95" "SGB_2543" "clade" "#336600" "normal" "1"
"96" "SGB_2403" "clade" "#336600" "normal" "1"
"97" "SGB_2232" "clade" "#336600" "normal" "1"
"98" "SGB_2392" "clade" "#336600" "normal" "1"
"99" "SGB_2402" "clade" "#336600" "normal" "1"
"100" "SGB_2369" "clade" "#00FF00" "normal" "1"
"101" "SGB_2382" "clade" "#00FF00" "normal" "1"
"102" "SGB_2399" "clade" "#00FF00" "normal" "1"
"103" "SGB_2354" "clade" "#00FF00" "normal" "1"
"104" "SGB_2347" "clade" "#00FF00" "normal" "1"
"105" "SGB_2607" "clade" "#00FF00" "normal" "1"
"106" "SGB_2528" "clade" "#00FF00" "normal" "1"
"107" "SGB_2513" "clade" "#00FF00" "normal" "1"
"108" "SGB_2575" "clade" "#00FF00" "normal" "1"
"109" "SGB_2527" "clade" "#00FF00" "normal" "1"
"110" "SGB_2594" "clade" "#00FF00" "normal" "1"
"111" "SGB_2572" "clade" "#00FF00" "normal" "1"
"112" "SGB_2512" "clade" "#00FF00" "normal" "1"
"113" "SGB_2568" "clade" "#00FF00" "normal" "1"
"114" "SGB_2562" "clade" "#00FF00" "normal" "1"
"115" "SGB_2359" "clade" "#00FF00" "normal" "1"
"116" "SGB_2531" "clade" "#00FF00" "normal" "1"
"117" "SGB_2706" "clade" "#00FF00" "normal" "1"
"118" "SGB_2570" "clade" "#00FF00" "normal" "1"
