"SGB" "V4" "V3" "V5" "V6"
"106" "SGB_13459" "clade" "#33FFCC" "normal" "1"
"107" "SGB_13555" "clade" "#33FFCC" "normal" "1"
"108" "SGB_14498" "clade" "#33FFCC" "normal" "1"
"109" "SGB_13506" "clade" "#33FFCC" "normal" "1"
"110" "SGB_14388" "clade" "#33FFCC" "normal" "1"
"111" "SGB_13732" "clade" "#33FFCC" "normal" "1"
"112" "SGB_13693" "clade" "#33FFCC" "normal" "1"
"113" "SGB_13565" "clade" "#33FFCC" "normal" "1"
"114" "SGB_13663" "clade" "#33FFCC" "normal" "1"
"115" "SGB_14147" "clade" "#33FFCC" "normal" "1"
"116" "SGB_14512" "clade" "#33FFCC" "normal" "1"
"117" "SGB_13583" "clade" "#33FFCC" "normal" "1"
"118" "SGB_14441" "clade" "#33FFCC" "normal" "1"
"119" "SGB_14323" "clade" "#33FFCC" "normal" "1"
"120" "SGB_14367" "clade" "#33FFCC" "normal" "1"
"121" "SGB_13692" "clade" "#33FFCC" "normal" "1"
"122" "SGB_14596" "clade" "#33FFCC" "normal" "1"
"123" "SGB_13523" "clade" "#33FFCC" "normal" "1"
"124" "SGB_13690" "clade" "#33FFCC" "normal" "1"
"125" "SGB_13569" "clade" "#33FFCC" "normal" "1"
"126" "SGB_13617" "clade" "#33FFCC" "normal" "1"
"127" "SGB_14515" "clade" "#33FFCC" "normal" "1"
"128" "SGB_13762" "clade" "#33FFCC" "normal" "1"
"129" "SGB_14614" "clade" "#33FFCC" "normal" "1"
"130" "SGB_13714" "clade" "#33FFCC" "normal" "1"
"131" "SGB_14352" "clade" "#33FFCC" "normal" "1"
"132" "SGB_14143" "clade" "#33FFCC" "normal" "1"
"133" "SGB_13688" "clade" "#33FFCC" "normal" "1"
"134" "SGB_13668" "clade" "#33FFCC" "normal" "1"
"135" "SGB_13903" "clade" "#336600" "normal" "1"
"136" "SGB_13788" "clade" "#336600" "normal" "1"
"137" "SGB_13947" "clade" "#336600" "normal" "1"
"138" "SGB_14056" "clade" "#336600" "normal" "1"
"139" "SGB_14114" "clade" "#336600" "normal" "1"
"140" "SGB_14046" "clade" "#336600" "normal" "1"
"141" "SGB_13896" "clade" "#336600" "normal" "1"
"142" "SGB_14009" "clade" "#336600" "normal" "1"
"143" "SGB_13981" "clade" "#336600" "normal" "1"
"144" "SGB_14103" "clade" "#336600" "normal" "1"
"145" "SGB_14172" "clade" "#336600" "normal" "1"
"146" "SGB_13899" "clade" "#336600" "normal" "1"
"147" "SGB_13834" "clade" "#00FF00" "normal" "1"
"148" "SGB_14084" "clade" "#00FF00" "normal" "1"
"149" "SGB_13863" "clade" "#00FF00" "normal" "1"
"150" "SGB_13823" "clade" "#00FF00" "normal" "1"
"151" "SGB_14034" "clade" "#00FF00" "normal" "1"
"152" "SGB_13785" "clade" "#00FF00" "normal" "1"
"153" "SGB_13842" "clade" "#00FF00" "normal" "1"
"154" "SGB_14739" "clade" "#00FF00" "normal" "1"
"155" "SGB_14033" "clade" "#00FF00" "normal" "1"
"156" "SGB_13851" "clade" "#00FF00" "normal" "1"
"157" "SGB_13811" "clade" "#00FF00" "normal" "1"
"158" "SGB_14137" "clade" "#00FF00" "normal" "1"
"159" "SGB_14031" "clade" "#00FF00" "normal" "1"
"160" "SGB_13620" "clade" "#00FF00" "normal" "1"
"161" "SGB_13804" "clade" "#00FF00" "normal" "1"
"162" "SGB_14138" "clade" "#00FF00" "normal" "1"
"163" "SGB_13606" "clade" "#00FF00" "normal" "1"
"164" "SGB_14100" "clade" "#00FF00" "normal" "1"
"165" "SGB_13984" "clade" "#00FF00" "normal" "1"
"166" "SGB_14430" "clade" "#00FF00" "normal" "1"
"167" "SGB_13976" "clade" "#00FF00" "normal" "1"
"168" "SGB_13993" "clade" "#00FF00" "normal" "1"
