SGB_ID,T1900044948_TA20190001,T1900044949_TA20190002,T1900044950_TA20190003,T1900044951_TA20190004,T1900044952_TA20190005,T1900044953_TA20190006,T1900044954_TA20190008,T1900044955_TA20190009,T1900044956_TA20190011,T1900044957_TA20190013,T1900044958_TA20190014,T1900044959_TA20190016,T1900044960_TA20190018,T1900044961_TA20190021,T1900044962_TA20190024,T1900044965_TA20190027,T1900044966_TA20190028,T1900044967_TA20190029,T1900044968_TA20190030,T1900044969_TA20190031,T1900044977_TA20190039,T1900044978_TA20190040,T1900044979_TA20190041,T1900044980_TA20190042,T1900044981_TA20190043,T1900044985_TA20190047,T1900044986_TA20190048,T1900044987_TA20190049,T1900044988_TA20190050,T1900044989_TA20190051,T1900044990_TA20190052,T1900044991_TA20190053,T1900044992_TA20190054,T1900044993_TA20190055,T1900044994_TA20190056,T1900044995_TA20190057,T1900044996_TA20190058,T1900044997_TA20190059,T1900044998_TA20190060,T1900044999_TA20190061,T1900045000_TA20190062,T1900045001_TA20190063,T1900045002_TA20190064,T1900045003_TA20190065,T1900045004_TA20190066,T1900045005_TA20190067,T1900045006_TA20190068,T1900045007_TA20190069
T1900044545_TS20190011_bin.260,0.006981392212649553,0.007037464708835862,0.003762029040193402,0,0.007748996289434034,0,0.007285204899520478,0.00904243250303959,0.006912436686347915,0.006319992743727774,0.005862525544486798,0.0065069360159043035,0.005299757320878627,0.006181655718781253,0,0,0.003640555315459642,0,0,0.005055110857034824,0,0.004225024336821866,0.004427306540776331,0.0041191874345374475,0.0037946875431399043,0.009491912125758608,0.006208373986367036,0.007558283875769902,0.006027311162524838,0.005694329799302331,0.00789126137661965,0.006074321102032733,0.00629551634005304,0.0062203350596350985,0.005761013720867852,0.006494598141156662,0.008162411968626245,0.006349612703200513,0.006728790171003306,0.009757598856632866,0.006902451096203004,0.006600911266798545,0.011415950857131436,0.005665836895362298,0.006450872768739116,0.006234183031824912,0.006934666970503259,0.006727683290398824
T1900044549_TS20190015_bin.436,0.0038965104749682667,0.00631465455301633,0.0038608378321480772,0.0048804858360486205,0.004447654738203147,0,0.0047992980723398455,0,0.0046617649759479775,0.003726071739002036,0,0.004585449537534152,0.004344503398452243,0.00446604469715663,0,0,0,0,0,0,0,0,0,0.004651690016786159,0.004802506882758463,0,0.0055108186121863864,0.005098064714780134,0.005087903285348241,0.005024435851715001,0.0047816197460705265,0.004518395307384595,0,0,0,0.005488040802546968,0,0.004160644012755206,0.005539319022082132,0.004312597735130896,0.004244410650196653,0.004722511742341354,0.004401432844424113,0.004956955092065555,0.004853561778968364,0.005360092068396287,0.004091160384184986,0.004153529359968899
T1900044551_TS20190017_bin.28,0.008987575569613677,0,0,0,0.010984522125258928,0,0.00955031870068888,0.005122886755888304,0.00934414162777309,0.010771064076254043,0,0,0,0.006983342721724986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1900044569_TS20190035_bin.127,0.0031728942960711107,0,0,0.005073835241520921,0,0,0,0.019066740046396045,0,0,0.00610280772223235,0.004739808668958164,0.005469000127134947,0.0032208004713443266,0,0,0,0,0,0,0,0,0,0,0,0,0.004047200713140893,0.0036398369563405138,0.004603673106884264,0.004579958297178161,0.005403111860871824,0.004323965431181423,0.0046176513644509525,0.0058616394474739425,0.005271729322207024,0.007379141856552936,0,0.005621865922805012,0.006955069561659824,0,0.005646963514553073,0.005762863968324122,0,0.004466282723939379,0.004759081955276604,0.0043178225760051574,0.005514572059622025,0.005657583000664144
T1900044591_TS20190057_bin.186,0.005746696355320502,0,0.006121365082410552,0,0.004744025465763465,0.005058117546614175,0,0,0.0037198874613908004,0.004419449149463457,0.003669693496910404,0.008219111198882783,0.011763595429863076,0.005142011471412333,0,0,0,0,0,0,0,0.010968631720024054,0,0.006503380775262735,0.005899163909808381,0,0.0203950653173909,0.01177669842518021,0.016862018929216304,0.018391047874480343,0.016845185933730168,0.022239976637842548,0.01661528087735484,0.016354129290137354,0.018374321079178708,0.022030196581718522,0,0.013249638549762622,0.017389117973625155,0,0.015339621769236783,0.019654820225896572,0,0.020577570410937475,0.022197743428114265,0.019972835672858767,0.01337570313412812,0.014081172781029239
T1900044635_TS20190101_bin.3,0.01186996441408662,0.01035919217671048,0.007038997035610121,0.006165959918662894,0.00858371276421492,0.005575056439076575,0.009967380374451966,0.009231355718986242,0.008214590967373502,0.007911364623845368,0.010597117831064736,0.009968315118923671,0.012717794456119784,0.009280601218557625,0,0,0.007023086368629476,0,0,0.008839437826875105,0,0.007303921458731525,0.008222296972232515,0.008768710072781476,0.006964863123522079,0.013853480418642955,0.007823508870974388,0.011466035248254059,0.00994470837283171,0.007938331506491276,0.012613275600177647,0.006635388199497517,0.00800487712885033,0.009651938185976771,0.008271169218434163,0.008763732613052848,0.01202864706181718,0.009735937020877803,0.008416658512208979,0.015081858164713611,0.01005694565550572,0.008202753594232549,0.015128958338462698,0.0073339071195494725,0.009195860157778287,0.00763521404555868,0.010243757017632244,0.010406137775789819
T1900044636_TS20190102_bin.133,0.005711171363827458,0.005070610595965879,0,0,0.005366931690642905,0,0.004895945502405945,0,0.005095697734498336,0.005807460420961185,0.050761326894827714,0,0,0.00635467087386117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1900044636_TS20190102_bin.140,0.003983465754683653,0.006034023864701745,0.0035372344917835247,0.003962388183175236,0.004107728066391246,0.003949161962911178,0.0043525861145456875,0.005395551985987864,0.004193157504683003,0.003926971450736497,0.004578697954435782,0.006217963908430905,0.006386147512114408,0.004373547627608076,0,0,0.0032908731234499665,0,0,0.004427509969516644,0,0.0032713447388457812,0.004336391057981454,0.005287285537319138,0.0044032015792605066,0.00707351366150367,0.003675710390909681,0.004427328118882691,0.004941305306854607,0.0031916170245423017,0.0045274422398540225,0.0029255361349992733,0.004164876934933719,0.0032290705472538253,0.004672470550804403,0.0037582724415495196,0.00584628180705315,0.00434289664635589,0.004064413143716783,0.007125132351368688,0.004312713143842765,0.0036637257032232076,0.006449861615313824,0.003555869401441344,0.0045609002009941646,0.0035530296845217753,0.0045133769896599785,0.003773875451348945
T1900044672_TS20190138_bin.93,0.006425770994691477,0,0,0,0.009342969991196111,0,0.007542443946869216,0,0.007538657284410883,0.010307374394198291,0,0,0,0.005794518187673641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1900044743_TS20190209_bin.308,0.009892210736925382,0.014311312460196795,0.006706056236432166,0.007918972491955454,0.009751727431712624,0.008063250748382012,0.009076980243770849,0.010199539794328513,0.008682490943732109,0.007952785359409728,0.009740756484426497,0.013551199563557437,0.012287849875914036,0.00932433379857786,0,0,0.004622224882846566,0,0,0.006993210211553445,0,0.004627527409372506,0.006044385406038301,0.00499482348282546,0.004815585471856932,0.009988355552299686,0.0070851559718996425,0.011505875754690947,0.008091627207608015,0.005708871953626114,0.009503240998612848,0.006169801189392622,0.007573912562295312,0.007906454872127969,0.007037904094563953,0.007064772672499621,0.009007026218608792,0.009110428313620668,0.0070359936133744996,0.00946438711037976,0.009249441593805877,0.0069567498721852614,0.010098404902481725,0.005643421178889307,0.00654934922554763,0.006709263825184767,0.009935850170404199,0.008321827947553309
