"","Sample_ID","PCoA1","PCoA2","Host"
"369","T1900044948_TA20190001",0.0273600440870642,0.276209937252267,"TA"
"370","T1900044949_TA20190002",0.0275549206468998,0.280801990073657,"TA"
"371","T1900044950_TA20190003",0.0272153803342898,0.271022237357082,"TA"
"372","T1900044951_TA20190004",0.0270748606583908,0.273118904938092,"TA"
"373","T1900044952_TA20190005",0.0261730249567606,0.247055525829055,"TA"
"374","T1900044953_TA20190006",0.0271478583066813,0.270628339844876,"TA"
"375","T1900044954_TA20190008",0.0259438921049931,0.244377683998437,"TA"
"376","T1900044955_TA20190009",0.0277834080732566,0.284665552839402,"TA"
"377","T1900044956_TA20190011",0.0260616836987474,0.245602027671099,"TA"
"378","T1900044957_TA20190013",0.0260531036210632,0.245931491492245,"TA"
"379","T1900044958_TA20190014",0.0277297251927527,0.28361724877921,"TA"
"380","T1900044959_TA20190016",0.0277418400747444,0.285746247170145,"TA"
"381","T1900044960_TA20190018",0.0277424311399964,0.285023748443854,"TA"
"382","T1900044961_TA20190021",0.027358160228253,0.27750943234162,"TA"
"383","T1900044962_TA20190024",0.0281685803516542,0.30898847758772,"TA"
"384","T1900044965_TA20190027",0.0289482748062981,0.322377525354986,"TA"
"385","T1900044966_TA20190028",0.0289723791200742,0.321402353933987,"TA"
"386","T1900044967_TA20190029",0.0282591260020419,0.316771205751661,"TA"
"387","T1900044968_TA20190030",0.029438918595095,0.329873436759726,"TA"
"388","T1900044969_TA20190031",0.0292535757872466,0.325933542931334,"TA"
"389","T1900044977_TA20190039",0.0284981233483151,0.316149937613314,"TA"
"390","T1900044978_TA20190040",0.0292502809206856,0.331254161092238,"TA"
"391","T1900044979_TA20190041",0.0293690033376586,0.329583238295385,"TA"
"392","T1900044980_TA20190042",0.0287313709921044,0.336271682552958,"TA"
"393","T1900044981_TA20190043",0.0283553011771062,0.337995142173678,"TA"
"394","T1900044985_TA20190047",0.0292461056240871,0.332274266497452,"TA"
"395","T1900044986_TA20190048",0.0295810318514203,0.327912540060724,"TA"
"396","T1900044987_TA20190049",0.0297352840649671,0.33304280753881,"TA"
"397","T1900044988_TA20190050",0.0296383076031491,0.332761062162013,"TA"
"398","T1900044989_TA20190051",0.0292823081043025,0.323413074730931,"TA"
"399","T1900044990_TA20190052",0.0298092721302165,0.336471704378871,"TA"
"400","T1900044991_TA20190053",0.0293938345104377,0.325893080375436,"TA"
"401","T1900044992_TA20190054",0.0300859756391588,0.34311596459015,"TA"
"402","T1900044993_TA20190055",0.0297869164879518,0.335931966426702,"TA"
"403","T1900044994_TA20190056",0.0298403989780603,0.336436735348553,"TA"
"404","T1900044995_TA20190057",0.0296173694436823,0.328187456006834,"TA"
"405","T1900044996_TA20190058",0.0295138009643102,0.333955127431275,"TA"
"406","T1900044997_TA20190059",0.0298062089511976,0.336738801191565,"TA"
"407","T1900044998_TA20190060",0.029540384466302,0.328607616582667,"TA"
"408","T1900044999_TA20190061",0.0296486278724575,0.336073037801374,"TA"
"409","T1900045000_TA20190062",0.0296351253356847,0.333726215727491,"TA"
"410","T1900045001_TA20190063",0.0295568840943495,0.327155560374945,"TA"
"411","T1900045002_TA20190064",0.0293895112485469,0.334308408348971,"TA"
"412","T1900045003_TA20190065",0.0295134126955904,0.327830930627279,"TA"
"413","T1900045004_TA20190066",0.0295341277120473,0.326417736378995,"TA"
"414","T1900045005_TA20190067",0.0296050509744532,0.3295419503098,"TA"
"415","T1900045006_TA20190068",0.0298203507794013,0.33460185932592,"TA"
"416","T1900045007_TA20190069",0.0297289232775704,0.334570425170348,"TA"
"609","T1900045231_TH20190001",0.0218690096019864,0.171153720724895,"TH"
"610","T1900045232_TH20190002",0.030677563236288,0.377360540741303,"TH"
"611","T1900045235_TH20190005",0.0313587144664701,0.385161149530656,"TH"
"612","T1900045236_TH20190006",0.0289187232714375,0.339830071790643,"TH"
"613","T1900045237_TH20190007",0.0308979448852037,0.377336977036876,"TH"
"614","T1900045238_TH20190008",0.0219921655448431,0.165271909425927,"TH"
"615","T1900045239_TH20190009",0.0287687455944989,0.340999803668695,"TH"
"616","T1900045240_TH20190010",0.0311194731580505,0.391597875841744,"TH"
