"","Sample_ID","PCoA1","PCoA2","Host"
"1","T1900044535_TS20190001",0.283862892839164,-0.167012330836547,"TS"
"2","T1900044536_TS20190002",0.308667326519916,-0.187446347220108,"TS"
"3","T1900044537_TS20190003",0.284354208665604,-0.13510467700084,"TS"
"4","T1900044538_TS20190004",0.308744357596539,-0.190158767246894,"TS"
"5","T1900044539_TS20190005",0.301697367772045,-0.195511969606707,"TS"
"6","T1900044540_TS20190006",0.280210680867317,-0.14174198271602,"TS"
"7","T1900044541_TS20190007",0.282961253253281,-0.165736007449609,"TS"
"8","T1900044542_TS20190008",0.289056605856258,-0.134046712037577,"TS"
"9","T1900044543_TS20190009",0.292915831066664,-0.167326870600101,"TS"
"10","T1900044544_TS20190010",0.286466569110858,-0.187758537517516,"TS"
"11","T1900044545_TS20190011",0.268077206223086,-0.178080495645513,"TS"
"12","T1900044546_TS20190012",0.290039476906674,-0.161011791886019,"TS"
"13","T1900044547_TS20190013",0.315694924161867,-0.187230599627283,"TS"
"14","T1900044548_TS20190014",0.304364474960866,-0.188802729565818,"TS"
"15","T1900044549_TS20190015",0.271531477247345,-0.151954144236814,"TS"
"16","T1900044550_TS20190016",0.308569505894367,-0.180196484632786,"TS"
"17","T1900044551_TS20190017",0.286947151385675,-0.158143953071741,"TS"
"18","T1900044552_TS20190018",0.293771464208265,-0.156477315469249,"TS"
"19","T1900044553_TS20190019",0.296375918542273,-0.172698002995586,"TS"
"20","T1900044554_TS20190020",0.284774289040732,-0.166817303426658,"TS"
"21","T1900044555_TS20190021",0.304010816193611,-0.180523035525763,"TS"
"22","T1900044556_TS20190022",0.324503647580963,-0.208898506338718,"TS"
"23","T1900044557_TS20190023",0.30207780003859,-0.156259927764792,"TS"
"24","T1900044558_TS20190024",0.315788639912576,-0.189685512896233,"TS"
"25","T1900044559_TS20190025",0.295687262088577,-0.168061725984902,"TS"
"26","T1900044560_TS20190026",0.301605218793475,-0.171694215496946,"TS"
"27","T1900044561_TS20190027",0.285266637465137,-0.185629319478644,"TS"
"28","T1900044562_TS20190028",0.282749213456235,-0.180629149574935,"TS"
"29","T1900044563_TS20190029",0.301957344670557,-0.193872636112503,"TS"
"30","T1900044564_TS20190030",0.304025411827638,-0.179331131852854,"TS"
"31","T1900044565_TS20190031",0.247380609040543,-0.171311373187656,"TS"
"32","T1900044566_TS20190032",0.298875647889045,-0.184200216027458,"TS"
"33","T1900044567_TS20190033",0.305509262726753,-0.17649668867129,"TS"
"34","T1900044568_TS20190034",0.262294382484151,-0.169473678400993,"TS"
"35","T1900044569_TS20190035",0.286234345700168,-0.172946448148636,"TS"
"36","T1900044570_TS20190036",0.298358661958465,-0.189115291457858,"TS"
"37","T1900044571_TS20190037",0.30450237381247,-0.195891304217476,"TS"
"38","T1900044572_TS20190038",0.299339588335502,-0.184016711503263,"TS"
"39","T1900044573_TS20190039",0.305809056991873,-0.175170985299458,"TS"
"40","T1900044574_TS20190040",0.218709603400951,-0.110181788254387,"TS"
"41","T1900044575_TS20190041",0.295789064753849,-0.16685858380086,"TS"
"42","T1900044576_TS20190042",0.208383746859078,-0.132253057175747,"TS"
"43","T1900044577_TS20190043",0.283060484405081,-0.152146158747231,"TS"
"44","T1900044578_TS20190044",0.244704695130621,-0.137344974062373,"TS"
"45","T1900044579_TS20190045",0.224297949059292,-0.0809062306838393,"TS"
"46","T1900044580_TS20190046",0.317012561197751,-0.209404664848399,"TS"
"47","T1900044581_TS20190047",0.273003303343249,-0.171470517673658,"TS"
"48","T1900044582_TS20190048",0.301124505437662,-0.17697805758846,"TS"
"49","T1900044583_TS20190049",0.270830514796295,-0.169314364527306,"TS"
"50","T1900044584_TS20190050",0.317189064431167,-0.173117291706131,"TS"
"51","T1900044585_TS20190051",0.275700328011784,-0.148942163413547,"TS"
"52","T1900044586_TS20190052",0.266033047587162,-0.139085208895728,"TS"
"53","T1900044587_TS20190053",0.211490814052354,-0.136051432972365,"TS"
"54","T1900044588_TS20190054",0.226754148554045,-0.114744601929034,"TS"
"55","T1900044589_TS20190055",0.255707063230387,-0.115678412061306,"TS"
"56","T1900044590_TS20190056",0.303392669340617,-0.173816760731271,"TS"
"57","T1900044591_TS20190057",0.194972322776551,-0.0460035431284941,"TS"
"58","T1900044592_TS20190058",0.213244032056421,-0.137558588130149,"TS"
"59","T1900044593_TS20190059",0.300476868927767,-0.195784149030554,"TS"
"60","T1900044594_TS20190060",0.301504373994185,-0.168800121757934,"TS"
"61","T1900044595_TS20190061",0.267410167648474,-0.139248496815772,"TS"
"62","T1900044596_TS20190062",0.209000514948591,-0.133512502659572,"TS"
"63","T1900044597_TS20190063",0.231771673918853,-0.116755109860352,"TS"
"64","T1900044598_TS20190064",0.284635500645108,-0.156079619640846,"TS"
"65","T1900044599_TS20190065",0.303611561941274,-0.169830231955449,"TS"
"66","T1900044600_TS20190066",0.314983648187506,-0.183102257067238,"TS"
"67","T1900044601_TS20190067",0.315687020844774,-0.184330170995209,"TS"
"68","T1900044602_TS20190068",0.23507226383691,-0.177268849629516,"TS"
"69","T1900044604_TS20190070",0.196095547494833,-0.0891981263131636,"TS"
"70","T1900044605_TS20190071",0.199313845679136,-0.0455465335949406,"TS"
"71","T1900044606_TS20190072",0.193966395376318,-0.0869837340069305,"TS"
"72","T1900044607_TS20190073",0.289509496924575,-0.174107496299311,"TS"
"73","T1900044608_TS20190074",0.290046304389052,-0.147698556696206,"TS"
"74","T1900044609_TS20190075",0.202757314094948,-0.0510544038652121,"TS"
"75","T1900044610_TS20190076",0.321489403621165,-0.21373005233319,"TS"
"76","T1900044611_TS20190077",0.200815762631261,-0.0483354203986066,"TS"
"77","T1900044612_TS20190078",0.306650856278374,-0.171808006116899,"TS"
"78","T1900044614_TS20190080",0.248885218205966,-0.114446269231198,"TS"
"79","T1900044615_TS20190081",0.186683748412789,-0.0105488453725015,"TS"
"80","T1900044616_TS20190082",0.136179939268922,0.0532419572930198,"TS"
"81","T1900044620_TS20190086",0.190035678757599,-0.0184023296243683,"TS"
"82","T1900044621_TS20190087",0.175009965952604,0.00744070243346759,"TS"
"83","T1900044622_TS20190088",0.177576335506529,-0.00278856123407473,"TS"
"84","T1900044623_TS20190089",0.205346175404331,0.00333427191373637,"TS"
"85","T1900044625_TS20190091",0.153282570996744,0.0428996082411355,"TS"
"86","T1900044627_TS20190093",0.173605326826245,0.0092928591272165,"TS"
"87","T1900044629_TS20190095",0.209410026997162,-0.0400522091553104,"TS"
