mash_dist,count,database
0.113,3364,GTDB
0.114,3404,GTDB
0.115,3450,GTDB
0.116,3496,GTDB
0.117,3537,GTDB
0.118,3585,GTDB
0.119,3637,GTDB
0.12,3685,GTDB
0.121,3735,GTDB
0.122,3776,GTDB
0.123,3819,GTDB
0.124,3874,GTDB
0.125,3927,GTDB
0.126,3980,GTDB
0.127,4032,GTDB
0.128,4092,GTDB
0.129,4147,GTDB
0.13,4202,GTDB
0.131,4248,GTDB
0.132,4296,GTDB
0.133,4353,GTDB
0.134,4421,GTDB
0.135,4480,GTDB
0.136,4543,GTDB
0.137,4613,GTDB
0.138,4676,GTDB
0.139,4735,GTDB
0.14,4818,GTDB
0.141,4886,GTDB
0.142,4959,GTDB
0.143,5015,GTDB
0.144,5078,GTDB
0.145,5138,GTDB
0.146,5201,GTDB
0.147,5253,GTDB
0.148,5330,GTDB
0.149,5401,GTDB
0.15,5465,GTDB
0.151,5532,GTDB
0.152,5600,GTDB
0.153,5665,GTDB
0.154,5729,GTDB
0.155,5792,GTDB
0.156,5850,GTDB
0.157,5909,GTDB
0.158,5974,GTDB
0.159,6045,GTDB
0.16,6107,GTDB
0.161,6163,GTDB
0.162,6222,GTDB
0.163,6289,GTDB
0.164,6345,GTDB
0.165,6397,GTDB
0.166,6463,GTDB
0.167,6535,GTDB
0.168,6584,GTDB
0.169,6634,GTDB
0.17,6697,GTDB
0.171,6746,GTDB
0.172,6821,GTDB
0.173,6888,GTDB
0.174,6957,GTDB
0.175,7011,GTDB
0.176,7078,GTDB
0.177,7146,GTDB
0.178,7204,GTDB
0.179,7266,GTDB
0.18,7344,GTDB
0.181,7418,GTDB
0.182,7508,GTDB
0.183,7586,GTDB
0.184,7662,GTDB
0.185,7730,GTDB
0.186,7786,GTDB
0.187,7857,GTDB
0.188,7920,GTDB
0.189,7984,GTDB
0.19,8057,GTDB
0.191,8113,GTDB
0.192,8192,GTDB
0.193,8256,GTDB
0.194,8306,GTDB
0.195,8367,GTDB
0.196,8434,GTDB
0.197,8515,GTDB
0.198,8573,GTDB
0.199,8627,GTDB
0.2,8683,GTDB
