SGB_ID	Node	GTDB_phylum	GTDB_genus
SGB_14869	N4	p__Firmicutes_A	g__Oscillibacter
SGB_13580	N4	p__Firmicutes_A	g__CAG-110
SGB_14954	N4	p__Firmicutes_A	g__UBA9475
SGB_14317	N4	p__Firmicutes_A	g__CAG-110
SGB_14851	N4	p__Firmicutes_A	g__Oscillibacter
SGB_13412	N4	p__Firmicutes_A	g__
SGB_14300	N4	p__Firmicutes_A	g__CAG-110
SGB_14630	N4	p__Firmicutes_A	g__CAG-110
SGB_14837	N4	p__Firmicutes_A	g__Lawsonibacter
SGB_16786	N4	p__Firmicutes_C	g__Phascolarctobacterium_A
SGB_14855	N4	p__Firmicutes_A	g__Oscillibacter
SGB_562	N4	p__Bacteroidota	g__Phocaeicola
SGB_4431	N4	p__Firmicutes_A	g__UMGS1603
SGB_13867	N4	p__Firmicutes_A	g__CAG-110
SGB_3509	N4	p__Firmicutes_A	g__
SGB_625	N4	p__Bacteroidota	g__Phocaeicola
SGB_2718	N4	p__Bacteroidota	g__RC9
SGB_14867	N4	p__Firmicutes_A	g__Oscillibacter
SGB_5542	N4	p__Firmicutes_A	g__Acetatifactor
SGB_629	N4	p__Bacteroidota	g__Phocaeicola
SGB_4382	N4	p__Firmicutes_A	g__UBA11524
SGB_14513	N4	p__Firmicutes_A	g__CAG-110
SGB_14738	N4	p__Firmicutes_A	g__CAG-110
SGB_4387	N4	p__Firmicutes_A	g__UBA11524
SGB_613	N4	p__Bacteroidota	g__Phocaeicola
SGB_836	N4	p__Bacteroidota	g__UBA1189
SGB_766	N4	p__Bacteroidota	g__UBA1189
SGB_769	N4	p__Bacteroidota	g__UBA1189
SGB_4338	N4	p__Firmicutes_A	g__SFFH01
SGB_5874	N4	p__Firmicutes_A	g__Dorea
SGB_3057	N4	p__Desulfobacterota	g__Mailhella
SGB_831	N4	p__Bacteroidota	g__UBA1189
SGB_2703	N4	p__Bacteroidota	g__RC9
SGB_13470	N4	p__Firmicutes_A	g__CAG-110
SGB_14166	N4	p__Firmicutes_A	g__CAG-110
SGB_15551	N4	p__Firmicutes_A	g__
SGB_9987	N4	p__Firmicutes_A	g__UBA4644
SGB_13674	N4	p__Firmicutes_A	g__CAG-110
SGB_14585	N4	p__Firmicutes_A	g__CAG-110
SGB_10395	N4	p__Firmicutes_A	g__
SGB_1708	N4	p__Bacteroidota	g__Alistipes
SGB_13328	N4	p__Firmicutes_A	g__
SGB_14283	N4	p__Firmicutes_A	g__CAG-110
SGB_8222	N4	p__Firmicutes_A	g__DTU089_A
SGB_13465	N4	p__Firmicutes_A	g__CAG-110
SGB_930	N4	p__Bacteroidota	g__UBA4372
SGB_13571	N4	p__Firmicutes_A	g__CAG-110
SGB_4276	N4	p__Firmicutes_A	g__Firm-11
SGB_13736	N4	p__Firmicutes_A	g__CAG-110
SGB_2675	N4	p__Bacteroidota	g__RC9
SGB_1072	N4	p__Bacteroidota	g__F082
SGB_563	N4	p__Bacteroidota	g__Phocaeicola
SGB_8271	N4	p__Firmicutes_A	g__DTU089_A
SGB_14402	N4	p__Firmicutes_A	g__CAG-110
SGB_14973	N4	p__Firmicutes_A	g__UMGS1872
SGB_622	N4	p__Bacteroidota	g__Phocaeicola
SGB_14204	N4	p__Firmicutes_A	g__CAG-110
SGB_11074	N4	p__Firmicutes_A	g__UBA1740
SGB_14198	N4	p__Firmicutes_A	g__CAG-110
SGB_13549	N4	p__Firmicutes_A	g__CAG-110
SGB_8468	N4	p__Firmicutes_A	g__Ruminococcus_E
SGB_13532	N4	p__Firmicutes_A	g__CAG-110
SGB_528	N4	p__Bacteroidota	g__
SGB_9943	N4	p__Firmicutes_A	g__UMGS1858
SGB_5932	N4	p__Firmicutes_A	g__Faecalimonas
SGB_14552	N4	p__Firmicutes_A	g__CAG-110
SGB_14662	N4	p__Firmicutes_A	g__CAG-110
SGB_10766	N4	p__Firmicutes_A	g__CAG-448
SGB_13307	N4	p__Firmicutes_A	g__
SGB_13553	N4	p__Firmicutes_A	g__CAG-110
SGB_635	N4	p__Bacteroidota	g__Phocaeicola
SGB_774	N4	p__Bacteroidota	g__UBA1189
SGB_13511	N4	p__Firmicutes_A	g__CAG-110
SGB_13734	N4	p__Firmicutes_A	g__CAG-110
SGB_14547	N4	p__Firmicutes_A	g__CAG-110
SGB_14192	N4	p__Firmicutes_A	g__CAG-110
SGB_560	N4	p__Bacteroidota	g__Phocaeicola
SGB_16733	N4	p__Firmicutes_B	g__
SGB_13764	N4	p__Firmicutes_A	g__CAG-110
SGB_14691	N4	p__Firmicutes_A	g__CAG-110
SGB_10545	N4	p__Firmicutes_A	g__CAG-390
SGB_4404	N4	p__Firmicutes_A	g__UBA11524
SGB_4341	N4	p__Firmicutes_A	g__SFFH01
SGB_4337	N4	p__Firmicutes_A	g__SFFH01
SGB_14610	N4	p__Firmicutes_A	g__CAG-110
SGB_616	N4	p__Bacteroidota	g__Phocaeicola
SGB_8096	N4	p__Firmicutes_A	g__DTU089_A
SGB_4389	N4	p__Firmicutes_A	g__UBA11524
SGB_4380	N4	p__Firmicutes_A	g__UBA11524
SGB_10772	N4	p__Firmicutes_A	g__CAG-448
SGB_10517	N4	p__Firmicutes_A	g__CAG-390
SGB_18456	N3	p__Proteobacteria	g__Escherichia
SGB_1423	N3	p__Bacteroidota	g__RF16
SGB_16866	N3	p__Firmicutes	g__Lysinibacillus_B
SGB_957	N3	p__Bacteroidota	g__UBA4372
SGB_566	N3	p__Bacteroidota	g__Phocaeicola
SGB_803	N3	p__Bacteroidota	g__UBA1189
SGB_599	N3	p__Bacteroidota	g__Phocaeicola
SGB_601	N3	p__Bacteroidota	g__Phocaeicola
SGB_1263	N3	p__Bacteroidota	g__UBA3388
SGB_2541	N3	p__Bacteroidota	g__RC9
SGB_592	N3	p__Bacteroidota	g__Phocaeicola
SGB_1262	N3	p__Bacteroidota	g__UBA3388
SGB_2122	N3	p__Bacteroidota	g__
SGB_309	N3	p__Bacteroidota	g__
SGB_597	N3	p__Bacteroidota	g__Phocaeicola
SGB_14807	N3	p__Firmicutes_A	g__Evtepia
SGB_1413	N3	p__Bacteroidota	g__RF16
SGB_133	N3	p__Methanobacteriota	g__Methanobrevibacter
SGB_132	N3	p__Methanobacteriota	g__Methanobrevibacter
SGB_1843	N3	p__Bacteroidota	g__Alistipes
SGB_801	N3	p__Bacteroidota	g__UBA1189
SGB_802	N3	p__Bacteroidota	g__UBA1189
SGB_16846	N3	p__Firmicutes	g__
SGB_478	N3	p__Bacteroidota	g__
SGB_432	N3	p__Bacteroidota	g__
SGB_19173	N3	p__Verrucomicrobiota	g__Akkermansia
SGB_2167	N3	p__Bacteroidota	g__CAG-831
SGB_2024	N3	p__Bacteroidota	g__UBA1757
SGB_812	N3	p__Bacteroidota	g__UBA1189
SGB_1820	N3	p__Bacteroidota	g__Alistipes
SGB_2498	N3	p__Bacteroidota	g__RC9
SGB_16869	N3	p__Firmicutes	g__Lysinibacillus_B
SGB_1429	N3	p__Bacteroidota	g__RF16
SGB_16738	N3	p__Firmicutes_B	g__
SGB_2653	N3	p__Bacteroidota	g__RC9
SGB_2638	N3	p__Bacteroidota	g__RC9
SGB_472	N3	p__Bacteroidota	g__
SGB_2545	N3	p__Bacteroidota	g__RC9
SGB_586	N3	p__Bacteroidota	g__Phocaeicola
SGB_2364	N3	p__Bacteroidota	g__RC9
SGB_1832	N3	p__Bacteroidota	g__Alistipes
SGB_1509	N3	p__Bacteroidota	g__SFVR01
SGB_2617	N3	p__Bacteroidota	g__RC9
SGB_16863	N3	p__Firmicutes	g__Lysinibacillus_B
SGB_1839	N3	p__Bacteroidota	g__Alistipes
SGB_1150	N3	p__Bacteroidota	g__M3
SGB_1129	N3	p__Bacteroidota	g__CAG-485
SGB_1130	N3	p__Bacteroidota	g__CAG-485
SGB_1700	N3	p__Bacteroidota	g__Alistipes
SGB_1437	N3	p__Bacteroidota	g__RF16
SGB_1408	N3	p__Bacteroidota	g__RF16
SGB_1395	N3	p__Bacteroidota	g__RF16
SGB_15846	N3	p__Firmicutes_A	g__Mogibacterium
SGB_1737	N3	p__Bacteroidota	g__Alistipes
SGB_1732	N3	p__Bacteroidota	g__Alistipes
SGB_15869	N3	p__Firmicutes_A	g__RUG708
SGB_16890	N3	p__Firmicutes	g__Solibacillus
SGB_580	N3	p__Bacteroidota	g__Phocaeicola
SGB_17053	N3	p__Firmicutes	g__Streptococcus
SGB_1353	N3	p__Bacteroidota	g__RF16
SGB_131	N3	p__Methanobacteriota	g__Methanobrevibacter
SGB_772	N3	p__Bacteroidota	g__UBA1189
SGB_804	N3	p__Bacteroidota	g__UBA1189
SGB_18541	N3	p__Spirochaetota	g__Treponema_D
SGB_1842	N3	p__Bacteroidota	g__Alistipes
SGB_19181	N3	p__Verrucomicrobiota	g__Akkermansia
SGB_14853	N3	p__Firmicutes_A	g__Oscillibacter
SGB_15875	N3	p__Firmicutes_A	g__RUG708
SGB_14968	N3	p__Firmicutes_A	g__UMGS1872
SGB_1642	N3	p__Bacteroidota	g__Alistipes
SGB_135	N3	p__Methanobacteriota	g__Methanobrevibacter
SGB_721	N3	p__Bacteroidota	g__Prevotellamassilia
SGB_1595	N3	p__Bacteroidota	g__Alistipes
SGB_542	N3	p__Bacteroidota	g__Bacteroides
SGB_2540	N3	p__Bacteroidota	g__RC9
SGB_818	N3	p__Bacteroidota	g__UBA1189
SGB_2606	N3	p__Bacteroidota	g__RC9
SGB_1727	N3	p__Bacteroidota	g__Alistipes
SGB_2393	N3	p__Bacteroidota	g__RC9
SGB_1741	N3	p__Bacteroidota	g__Alistipes
SGB_826	N3	p__Bacteroidota	g__UBA1189
SGB_815	N3	p__Bacteroidota	g__UBA1189
SGB_409	N3	p__Bacteroidota	g__
SGB_1275	N3	p__Bacteroidota	g__
SGB_1564	N3	p__Bacteroidota	g__
SGB_807	N3	p__Bacteroidota	g__UBA1189
SGB_2631	N3	p__Bacteroidota	g__RC9
SGB_1428	N3	p__Bacteroidota	g__RF16
SGB_2627	N3	p__Bacteroidota	g__RC9
SGB_2558	N3	p__Bacteroidota	g__RC9
SGB_2544	N3	p__Bacteroidota	g__RC9
SGB_808	N3	p__Bacteroidota	g__UBA1189
SGB_2494	N3	p__Bacteroidota	g__RC9
SGB_583	N3	p__Bacteroidota	g__Phocaeicola
SGB_16919	N3	p__Firmicutes	g__
SGB_424	N3	p__Bacteroidota	g__
SGB_2755	N3	p__Bacteroidota	g__UBA1232
SGB_760	N3	p__Bacteroidota	g__UBA1179
SGB_2763	N3	p__Bacteroidota	g__UBA1232
SGB_2585	N3	p__Bacteroidota	g__RC9
SGB_15876	N3	p__Firmicutes_A	g__RUG708
SGB_672	N3	p__Bacteroidota	g__Prevotella
SGB_4291	N3	p__Firmicutes_A	g__GCA-900199385
SGB_418	N3	p__Bacteroidota	g__
SGB_1411	N3	p__Bacteroidota	g__RF16
SGB_420	N3	p__Bacteroidota	g__
SGB_19171	N3	p__Verrucomicrobiota	g__Akkermansia
SGB_2626	N3	p__Bacteroidota	g__RC9
SGB_813	N3	p__Bacteroidota	g__UBA1189
SGB_278	N3	p__Bacteroidota	g__
SGB_2578	N3	p__Bacteroidota	g__RC9
SGB_2502	N3	p__Bacteroidota	g__RC9
SGB_1412	N3	p__Bacteroidota	g__RF16
SGB_2641	N3	p__Bacteroidota	g__RC9
SGB_1256	N3	p__Bacteroidota	g__UBA3388
SGB_2770	N3	p__Bacteroidota	g__UBA1232
SGB_1422	N3	p__Bacteroidota	g__RF16
SGB_1151	N3	p__Bacteroidota	g__M3
SGB_2625	N3	p__Bacteroidota	g__RC9
SGB_824	N3	p__Bacteroidota	g__UBA1189
SGB_1431	N3	p__Bacteroidota	g__RF16
SGB_1394	N3	p__Bacteroidota	g__RF16
SGB_16735	N3	p__Firmicutes_B	g__
SGB_19197	N3	p__Verrucomicrobiota	g__Akkermansia
SGB_598	N3	p__Bacteroidota	g__Phocaeicola
SGB_16736	N3	p__Firmicutes_B	g__
SGB_947	N3	p__Bacteroidota	g__UBA4372
SGB_1427	N3	p__Bacteroidota	g__RF16
SGB_1739	N3	p__Bacteroidota	g__Alistipes
SGB_1729	N3	p__Bacteroidota	g__Alistipes
SGB_1049	N3	p__Bacteroidota	g__F082
SGB_415	N3	p__Bacteroidota	g__
SGB_2536	N3	p__Bacteroidota	g__RC9
SGB_799	N3	p__Bacteroidota	g__UBA1189
SGB_5871	N3	p__Firmicutes_A	g__Dorea
SGB_1200	N3	p__Bacteroidota	g__UBA1219
SGB_1290	N3	p__Bacteroidota	g__RF16
SGB_19189	N3	p__Verrucomicrobiota	g__Akkermansia
SGB_2553	N3	p__Bacteroidota	g__RC9
SGB_1735	N3	p__Bacteroidota	g__Alistipes
SGB_1341	N3	p__Bacteroidota	g__RF16
SGB_1148	N3	p__Bacteroidota	g__M3
SGB_10000	N3	p__Firmicutes_A	g__UBA4644
SGB_1011	N3	p__Bacteroidota	g__F082
SGB_9970	N3	p__Firmicutes_A	g__
SGB_2500	N3	p__Bacteroidota	g__RC9
SGB_468	N3	p__Bacteroidota	g__
SGB_1402	N3	p__Bacteroidota	g__RF16
SGB_1779	N3	p__Bacteroidota	g__Alistipes
SGB_2501	N3	p__Bacteroidota	g__RC9
SGB_2506	N3	p__Bacteroidota	g__RC9
SGB_13279	N3	p__Firmicutes_A	g__
SGB_18830	N3	p__Verrucomicrobiota	g__UBA1067
SGB_6563	N3	p__Firmicutes_A	g__
SGB_2373	N3	p__Bacteroidota	g__RC9
SGB_5960	N3	p__Firmicutes_A	g__Faecalimonas
SGB_1496	N3	p__Bacteroidota	g__SFVR01
SGB_125	N3	p__Methanobacteriota	g__Methanobrevibacter
SGB_595	N3	p__Bacteroidota	g__Phocaeicola
SGB_15760	N3	p__Firmicutes_A	g__
SGB_2580	N3	p__Bacteroidota	g__RC9
SGB_2611	N3	p__Bacteroidota	g__RC9
SGB_558	N3	p__Bacteroidota	g__Paraprevotella
SGB_2411	N3	p__Bacteroidota	g__RC9
SGB_2749	N3	p__Bacteroidota	g__UBA1232
SGB_2169	N3	p__Bacteroidota	g__RC9
SGB_2620	N3	p__Bacteroidota	g__RC9
SGB_1041	N3	p__Bacteroidota	g__F082
SGB_761	N3	p__Bacteroidota	g__UBA1179
SGB_2762	N3	p__Bacteroidota	g__UBA1232
SGB_5958	N3	p__Firmicutes_A	g__Faecalimonas
SGB_2504	N3	p__Bacteroidota	g__RC9
SGB_1201	N3	p__Bacteroidota	g__UBA1219
SGB_15145	N3	p__Firmicutes_A	g__
SGB_2610	N3	p__Bacteroidota	g__RC9
SGB_578	N3	p__Bacteroidota	g__Phocaeicola
SGB_2549	N3	p__Bacteroidota	g__RC9
SGB_800	N3	p__Bacteroidota	g__UBA1189
SGB_2510	N3	p__Bacteroidota	g__RC9
SGB_1747	N3	p__Bacteroidota	g__Alistipes
SGB_2615	N3	p__Bacteroidota	g__RC9
SGB_1759	N3	p__Bacteroidota	g__Alistipes
SGB_1434	N3	p__Bacteroidota	g__RF16
SGB_19149	N3	p__Verrucomicrobiota	g__Akkermansia
SGB_1042	N3	p__Bacteroidota	g__F082
SGB_1410	N3	p__Bacteroidota	g__RF16
SGB_587	N3	p__Bacteroidota	g__Phocaeicola
SGB_413	N3	p__Bacteroidota	g__
SGB_2379	N3	p__Bacteroidota	g__RC9
SGB_15672	N3	p__Firmicutes_A	g__
SGB_13261	N3	p__Firmicutes_A	g__
SGB_1131	N3	p__Bacteroidota	g__CAG-485
SGB_1247	N3	p__Bacteroidota	g__UBA3388
SGB_1435	N3	p__Bacteroidota	g__RF16
SGB_371	N3	p__Bacteroidota	g__
SGB_1816	N3	p__Bacteroidota	g__Alistipes
SGB_837	N3	p__Bacteroidota	g__UBA1189
SGB_790	N3	p__Bacteroidota	g__UBA1189
SGB_2503	N3	p__Bacteroidota	g__RC9
SGB_9969	N3	p__Firmicutes_A	g__
SGB_1436	N3	p__Bacteroidota	g__RF16
SGB_1281	N3	p__Bacteroidota	g__RF16
SGB_15751	N3	p__Firmicutes_A	g__
SGB_2343	N3	p__Bacteroidota	g__RC9
SGB_729	N3	p__Bacteroidota	g__UBA1179
SGB_581	N3	p__Bacteroidota	g__Phocaeicola
SGB_14095	N3	p__Firmicutes_A	g__CAG-110
SGB_16901	N3	p__Firmicutes	g__
SGB_422	N3	p__Bacteroidota	g__
SGB_5209	N3	p__Firmicutes_A	g__
SGB_15680	N3	p__Firmicutes_A	g__
SGB_7535	N3	p__Firmicutes_A	g__
SGB_2492	N3	p__Bacteroidota	g__RC9
SGB_767	N3	p__Bacteroidota	g__UBA1189
SGB_810	N3	p__Bacteroidota	g__UBA1189
SGB_1791	N3	p__Bacteroidota	g__Alistipes
SGB_1505	N3	p__Bacteroidota	g__SFVR01
SGB_16943	N3	p__Firmicutes	g__Bulleidia
SGB_928	N3	p__Bacteroidota	g__UBA4372
SGB_582	N3	p__Bacteroidota	g__Phocaeicola
SGB_1376	N3	p__Bacteroidota	g__RF16
SGB_12064	N3	p__Firmicutes_A	g__UMGS1225
SGB_792	N3	p__Bacteroidota	g__UBA1189
SGB_15744	N3	p__Firmicutes_A	g__
SGB_1056	N3	p__Bacteroidota	g__F082
SGB_13213	N3	p__Firmicutes_A	g__
SGB_1656	N3	p__Bacteroidota	g__Alistipes
SGB_787	N3	p__Bacteroidota	g__UBA1189
SGB_825	N3	p__Bacteroidota	g__UBA1189
SGB_2757	N3	p__Bacteroidota	g__UBA1232
SGB_1252	N3	p__Bacteroidota	g__UBA3388
SGB_1282	N3	p__Bacteroidota	g__RF16
SGB_15684	N3	p__Firmicutes_A	g__
SGB_2116	N3	p__Bacteroidota	g__
SGB_13942	N3	p__Firmicutes_A	g__CAG-110
SGB_791	N3	p__Bacteroidota	g__UBA1189
SGB_806	N3	p__Bacteroidota	g__UBA1189
SGB_1430	N3	p__Bacteroidota	g__RF16
SGB_1417	N3	p__Bacteroidota	g__RF16
SGB_462	N3	p__Bacteroidota	g__
SGB_1825	N3	p__Bacteroidota	g__Alistipes
SGB_817	N3	p__Bacteroidota	g__UBA1189
SGB_1507	N3	p__Bacteroidota	g__SFVR01
SGB_820	N3	p__Bacteroidota	g__UBA1189
SGB_2748	N3	p__Bacteroidota	g__UBA1232
SGB_4374	N3	p__Firmicutes_A	g__SFTH01
SGB_1144	N3	p__Bacteroidota	g__M3
SGB_1648	N3	p__Bacteroidota	g__Alistipes
SGB_2751	N3	p__Bacteroidota	g__UBA1232
SGB_1203	N3	p__Bacteroidota	g__UBA1219
SGB_9999	N3	p__Firmicutes_A	g__UBA4644
SGB_821	N3	p__Bacteroidota	g__UBA1189
SGB_1730	N3	p__Bacteroidota	g__Alistipes
SGB_1661	N3	p__Bacteroidota	g__Alistipes
SGB_4426	N3	p__Firmicutes_A	g__UBA2862
SGB_370	N3	p__Bacteroidota	g__
SGB_1202	N3	p__Bacteroidota	g__UBA1219
SGB_15789	N3	p__Firmicutes_A	g__CAG-145
SGB_1942	N3	p__Bacteroidota	g__Alistipes
SGB_1407	N3	p__Bacteroidota	g__RF16
SGB_1077	N3	p__Bacteroidota	g__
SGB_2518	N3	p__Bacteroidota	g__RC9
SGB_2579	N3	p__Bacteroidota	g__RC9
SGB_1424	N3	p__Bacteroidota	g__RF16
SGB_367	N3	p__Bacteroidota	g__
SGB_1053	N3	p__Bacteroidota	g__F082
SGB_14018	N3	p__Firmicutes_A	g__CAG-110
SGB_18702	N3	p__Spirochaetota	g__Treponema_D
SGB_1707	N3	p__Bacteroidota	g__Alistipes
SGB_15752	N3	p__Firmicutes_A	g__
SGB_5216	N3	p__Firmicutes_A	g__
SGB_1567	N3	p__Bacteroidota	g__
SGB_130	N3	p__Methanobacteriota	g__Methanobrevibacter
SGB_2614	N3	p__Bacteroidota	g__RC9
SGB_13890	N3	p__Firmicutes_A	g__CAG-110
SGB_2535	N3	p__Bacteroidota	g__RC9
SGB_14849	N3	p__Firmicutes_A	g__Oscillibacter
SGB_770	N3	p__Bacteroidota	g__UBA1189
SGB_14098	N3	p__Firmicutes_A	g__CAG-110
SGB_814	N3	p__Bacteroidota	g__UBA1189
SGB_19208	N3	p__Verrucomicrobiota	g__Akkermansia
SGB_6212	N3	p__Firmicutes_A	g__SFDP01
SGB_142	N3	p__Methanobacteriota	g__Methanosphaera
SGB_6379	N3	p__Firmicutes_A	g__UBA2856
SGB_1071	N3	p__Bacteroidota	g__F082
SGB_15785	N3	p__Firmicutes_A	g__Bacilliculturomica
SGB_14121	N3	p__Firmicutes_A	g__CAG-110
SGB_5224	N3	p__Firmicutes_A	g__
SGB_1283	N3	p__Bacteroidota	g__RF16
SGB_2604	N3	p__Bacteroidota	g__RC9
SGB_485	N3	p__Bacteroidota	g__
SGB_13251	N3	p__Firmicutes_A	g__
SGB_279	N3	p__Bacteroidota	g__
SGB_5204	N3	p__Firmicutes_A	g__
SGB_5872	N3	p__Firmicutes_A	g__Dorea
SGB_2206	N3	p__Bacteroidota	g__RC9
SGB_1097	N3	p__Bacteroidota	g__
SGB_16114	N3	p__Firmicutes_A	g__UBA7001
SGB_446	N3	p__Bacteroidota	g__
SGB_364	N3	p__Bacteroidota	g__
