SGB_ID	SGB
SGB_118	T1900044574_TS20190040_bin.71
SGB_119	T1900044634_TS20190100_bin.206
SGB_120	TP20200814-DZC18_DT2009055346-1_bin.202
SGB_121	T1900044936_TS20190402_bin.73
SGB_122	T1900045553_YK20190247_bin.175
SGB_123	T1900044899_TS20190365_bin.161
SGB_124	T1900045449_YK20190140_bin.27
SGB_125	T1900044627_TS20190093_bin.73
SGB_126	T1900044646_TS20190112_bin.286
SGB_127	T1900044673_TS20190139_bin.223
SGB_128	T1900044688_TS20190154_bin.63
SGB_129	T1900044761_TS20190227_bin.93
SGB_130	T1900044816_TS20190282_bin.35
SGB_131	T1900045111_TC20190105_bin.52
SGB_132	T1900045314_YK20190003_bin.180
SGB_133	T1900045716_YK20190410_bin.118
SGB_134	T1900045720_YK20190414_bin.55
SGB_135	TP20200814-DZC39_DT2009055367-1_bin.1
SGB_136	TP20200815-DZC66_DT2009055536-1_bin.104
SGB_137	T1900044910_TS20190376_bin.177
SGB_138	T1900044885_TS20190351_bin.20
SGB_139	T1900045365_YK20190055_bin.248
SGB_140	T1900045386_YK20190076_bin.115
SGB_141	T1900045388_YK20190078_bin.275
SGB_142	T1900045447_YK20190138_bin.166
SGB_143	T1900045536_YK20190230_bin.303
SGB_144	T1900045729_YK20190423_bin.437
SGB_145	T1900045735_YK20190429_bin.36
SGB_146	T1900045735_YK20190429_bin.56
SGB_147	TP20200814-DZC39_DT2009055367-1_bin.243
SGB_148	TP20200814-DZC42_DT2009055370-1_bin.79
SGB_149	TP20200815-DZC30_DT2009055500-1_bin.122
SGB_150	TP20200824-WDL34_DT2009055567-1_bin.183
SGB_151	T1900045393_YK20190083_bin.3
SGB_152	T1900045746_YK20190440_bin.225
SGB_153	T1900044725_TS20190191_bin.389
SGB_154	T1900044751_TS20190417_bin.424
SGB_155	T1900045668_YK20190362_bin.96
SGB_156	T1900045682_YK20190376_bin.51
SGB_157	TP20200825-WDL25_DT2009055596-1_bin.298
SGB_158	TP20200825-WDL31_DT2009055597-1_bin.1
SGB_159	T1900044950_TA20190003_bin.184
SGB_160	T1900044950_TA20190003_bin.284
SGB_161	T1900044952_TA20190005_bin.152
SGB_162	T1900044958_TA20190014_bin.129
SGB_163	T1900044958_TA20190014_bin.161
SGB_164	T1900044989_TA20190051_bin.68
SGB_165	T1900044583_TS20190049_bin.77
SGB_166	T1900044714_TS20190180_bin.91
SGB_167	T1900044743_TS20190209_bin.438
SGB_168	T1900044746_TS20190212_bin.191
SGB_169	T1900044751_TS20190417_bin.214
SGB_170	T1900044833_TS20190299_bin.195
SGB_171	T1900044949_TA20190002_bin.153
SGB_172	T1900044949_TA20190002_bin.204
SGB_173	T1900044950_TA20190003_bin.416
SGB_174	T1900044951_TA20190004_bin.99
SGB_175	T1900044954_TA20190008_bin.336
SGB_176	T1900044958_TA20190014_bin.64
SGB_177	T1900044959_TA20190016_bin.41
SGB_178	T1900045001_TA20190063_bin.354
SGB_179	T1900045161_TC20190155_bin.138
SGB_180	T1900045278_TH20190048_bin.96
SGB_181	T1900045334_YK20190023_bin.312
SGB_182	TP20200814-DZC17_DT2009055345-1_bin.54
SGB_183	TP20200814-DZC33_DT2009055361-1_bin.228
SGB_184	T1900044676_TS20190142_bin.9
SGB_185	T1900044688_TS20190154_bin.54
SGB_186	T1900044853_TS20190319_bin.176
SGB_187	T1900045451_YK20190142_bin.283
SGB_188	T1900045723_YK20190417_bin.299
SGB_189	T1900045574_YK20190268_bin.24
SGB_190	T1900045244_TH20190014_bin.43
SGB_191	T1900045754_YK20190448_bin.57
SGB_192	T1900045755_YK20190449_bin.66
SGB_193	T1900045762_YK20190456_bin.42
SGB_194	T1900045231_TH20190001_bin.105
SGB_195	T1900044686_TS20190152_bin.20
SGB_196	T1900045231_TH20190001_bin.7
SGB_197	T1900045244_TH20190014_bin.20
SGB_198	TP20200812-DBC105_DT2009055328-1_bin.165
SGB_199	T1900045231_TH20190001_bin.59
SGB_200	T1900044977_TA20190039_bin.155
SGB_201	T1900045296_TH20190066_bin.137
SGB_202	T1900045753_YK20190447_bin.377
SGB_203	T1900045753_YK20190447_bin.415
SGB_204	TP20200814-DZC49_DT2009055377-1_bin.162
SGB_205	TP20200814-DZC7_DT2009055335-1_bin.89
SGB_206	TP20200823-QMN4_DT2009055551-1_bin.45
SGB_207	T1900045496_YK20190190_bin.200
SGB_208	T1900045731_YK20190425_bin.56
SGB_209	T1900045245_TH20190015_bin.133
SGB_210	T1900044951_TA20190004_bin.212
SGB_211	T1900045730_YK20190424_bin.10
SGB_212	T1900045767_YK20190461_bin.209
SGB_213	T1900045574_YK20190268_bin.36
SGB_214	T1900044591_TS20190057_bin.109
SGB_215	T1900044694_TS20190160_bin.39
SGB_216	T1900045394_YK20190084_bin.303
SGB_217	T1900045396_YK20190086_bin.8
SGB_218	T1900045537_YK20190231_bin.213
SGB_219	T1900045743_YK20190437_bin.232
SGB_220	T1900045756_YK20190450_bin.194
SGB_221	TP20200824-WDL34_DT2009055567-1_bin.266
SGB_222	T1900044688_TS20190154_bin.154
SGB_223	T1900044750_TS20190416_bin.299
SGB_224	T1900045365_YK20190055_bin.262
SGB_225	T1900045416_YK20190106_bin.35
SGB_226	T1900044646_TS20190112_bin.59
SGB_227	T1900044692_TS20190158_bin.70
SGB_228	T1900044749_TS20190415_bin.322
SGB_229	T1900044951_TA20190004_bin.396
SGB_230	T1900044951_TA20190004_bin.50
SGB_231	T1900044961_TA20190021_bin.17
SGB_232	T1900044962_TA20190024_bin.133
SGB_233	T1900044968_TA20190030_bin.169
SGB_234	T1900044981_TA20190043_bin.26
SGB_235	T1900045043_TC20190036_bin.324
SGB_236	T1900045049_TC20190042_bin.176
SGB_237	T1900045096_TC20190090_bin.326
SGB_238	T1900045208_TC20190204_bin.65
SGB_239	T1900045218_TC20190214_bin.166
SGB_240	T1900045239_TH20190009_bin.314
SGB_241	T1900045243_TH20190013_bin.508
SGB_242	T1900045247_TH20190017_bin.140
SGB_243	T1900045266_TH20190036_bin.241
SGB_244	T1900045272_TH20190042_bin.194
SGB_245	T1900045284_TH20190054_bin.148
SGB_246	T1900045291_TH20190061_bin.129
SGB_247	T1900045304_TH20190074_bin.31
SGB_248	T1900045447_YK20190138_bin.25
SGB_249	T1900045725_YK20190419_bin.108
SGB_250	T1900045725_YK20190419_bin.143
SGB_251	T1900045726_YK20190420_bin.43
SGB_252	T1900045732_YK20190426_bin.199
SGB_253	T1900045734_YK20190428_bin.286
SGB_254	T1900045739_YK20190433_bin.352
SGB_255	TP20200814-DZC141_DT2009055469-1_bin.203
SGB_256	T1900044954_TA20190008_bin.156
SGB_257	T1900045235_TH20190005_bin.234
SGB_258	T1900045759_YK20190453_bin.267
SGB_259	T1900044694_TS20190160_bin.33
SGB_260	T1900045714_YK20190408_bin.259
SGB_261	TP20200814-DZC49_DT2009055377-1_bin.359
SGB_262	T1900045574_YK20190268_bin.28
SGB_263	T1900044694_TS20190160_bin.4
SGB_264	T1900045499_YK20190193_bin.279
SGB_265	T1900045725_YK20190419_bin.111
SGB_266	T1900044642_TS20190108_bin.334
SGB_267	T1900045236_TH20190006_bin.451
SGB_268	T1900045767_YK20190461_bin.119
SGB_269	T1900045725_YK20190419_bin.92
SGB_270	T1900045752_YK20190446_bin.102
SGB_271	T1900044962_TA20190024_bin.196
SGB_272	T1900044949_TA20190002_bin.252
SGB_273	T1900045250_TH20190020_bin.185
SGB_274	T1900044554_TS20190020_bin.143
SGB_275	T1900044558_TS20190024_bin.350
SGB_276	T1900044569_TS20190035_bin.13
SGB_277	T1900044583_TS20190049_bin.275
SGB_278	T1900044588_TS20190054_bin.147
SGB_279	T1900044589_TS20190055_bin.213
SGB_280	T1900044593_TS20190059_bin.20
SGB_281	T1900044611_TS20190077_bin.179
SGB_282	T1900044629_TS20190095_bin.395
SGB_283	T1900044632_TS20190098_bin.80
SGB_284	T1900044639_TS20190105_bin.217
SGB_285	T1900044643_TS20190109_bin.52
SGB_286	T1900044644_TS20190110_bin.56
SGB_287	T1900044646_TS20190112_bin.77
SGB_288	T1900044659_TS20190125_bin.328
SGB_289	T1900044661_TS20190127_bin.344
SGB_290	T1900044665_TS20190131_bin.20
SGB_291	T1900044682_TS20190148_bin.171
SGB_292	T1900044693_TS20190159_bin.99
SGB_293	T1900044696_TS20190162_bin.285
SGB_294	T1900044696_TS20190162_bin.307
SGB_295	T1900044730_TS20190196_bin.81
SGB_296	T1900044738_TS20190204_bin.169
SGB_297	T1900044740_TS20190206_bin.56
SGB_298	T1900044747_TS20190213_bin.172
SGB_299	T1900044748_TS20190414_bin.259
SGB_300	T1900044750_TS20190416_bin.19
SGB_301	T1900044752_TS20190418_bin.110
SGB_302	T1900044757_TS20190223_bin.252
SGB_303	T1900044758_TS20190224_bin.238
SGB_304	T1900044778_TS20190244_bin.96
SGB_305	T1900044779_TS20190245_bin.83
SGB_306	T1900044782_TS20190248_bin.169
SGB_307	T1900044792_TS20190258_bin.26
SGB_308	T1900044798_TS20190264_bin.165
SGB_309	T1900044809_TS20190275_bin.131
SGB_310	T1900044809_TS20190275_bin.60
SGB_311	T1900044826_TS20190292_bin.152
SGB_312	T1900044833_TS20190299_bin.224
SGB_313	T1900044835_TS20190301_bin.37
SGB_314	T1900044841_TS20190307_bin.265
SGB_315	T1900044851_TS20190317_bin.246
SGB_316	T1900044859_TS20190325_bin.97
SGB_317	T1900044866_TS20190332_bin.171
SGB_318	T1900044916_TS20190382_bin.323
SGB_319	T1900044924_TS20190390_bin.80
SGB_320	T1900044948_TA20190001_bin.395
SGB_321	T1900044949_TA20190002_bin.198
SGB_322	T1900044949_TA20190002_bin.407
SGB_323	T1900044950_TA20190003_bin.17
SGB_324	T1900044950_TA20190003_bin.333
SGB_325	T1900044952_TA20190005_bin.319
SGB_326	T1900044958_TA20190014_bin.191
SGB_327	T1900044958_TA20190014_bin.235
SGB_328	T1900044959_TA20190016_bin.182
SGB_329	T1900044960_TA20190018_bin.194
SGB_330	T1900044962_TA20190024_bin.298
SGB_331	T1900044962_TA20190024_bin.67
SGB_332	T1900044981_TA20190043_bin.34
SGB_333	T1900044987_TA20190049_bin.155
SGB_334	T1900044988_TA20190050_bin.42
SGB_335	T1900044999_TA20190061_bin.232
SGB_336	T1900045000_TA20190062_bin.267
SGB_337	T1900045004_TA20190066_bin.311
SGB_338	T1900045013_TC20190006_bin.102
SGB_339	T1900045025_TC20190018_bin.200
SGB_340	T1900045029_TC20190022_bin.108
SGB_341	T1900045030_TC20190023_bin.176
SGB_342	T1900045034_TC20190027_bin.34
SGB_343	T1900045034_TC20190027_bin.86
SGB_344	T1900045044_TC20190037_bin.257
SGB_345	T1900045050_TC20190043_bin.244
SGB_346	T1900045064_TC20190058_bin.248
SGB_347	T1900045076_TC20190070_bin.62
SGB_348	T1900045083_TC20190077_bin.20
SGB_349	T1900045085_TC20190079_bin.50
SGB_350	T1900045094_TC20190088_bin.296
SGB_351	T1900045094_TC20190088_bin.306
SGB_352	T1900045098_TC20190092_bin.99
SGB_353	T1900045115_TC20190109_bin.130
SGB_354	T1900045120_TC20190114_bin.212
SGB_355	T1900045121_TC20190115_bin.59
SGB_356	T1900045124_TC20190118_bin.194
SGB_357	T1900045129_TC20190123_bin.175
SGB_358	T1900045130_TC20190124_bin.308
SGB_359	T1900045137_TC20190131_bin.198
SGB_360	T1900045138_TC20190132_bin.106
SGB_361	T1900045149_TC20190143_bin.25
SGB_362	T1900045157_TC20190151_bin.170
SGB_363	T1900045158_TC20190152_bin.21
SGB_364	T1900045163_TC20190157_bin.43
SGB_365	T1900045164_TC20190158_bin.57
SGB_366	T1900045165_TC20190159_bin.1
SGB_367	T1900045166_TC20190160_bin.217
SGB_368	T1900045167_TC20190161_bin.124
SGB_369	T1900045167_TC20190161_bin.359
SGB_370	T1900045168_TC20190162_bin.160
SGB_371	T1900045171_TC20190165_bin.151
SGB_372	T1900045171_TC20190165_bin.212
SGB_373	T1900045171_TC20190165_bin.74
SGB_374	T1900045172_TC20190168_bin.206
SGB_375	T1900045178_TC20190174_bin.217
SGB_376	T1900045178_TC20190174_bin.248
SGB_377	T1900045181_TC20190177_bin.49
SGB_378	T1900045183_TC20190179_bin.245
SGB_379	T1900045184_TC20190180_bin.235
SGB_380	T1900045184_TC20190180_bin.261
SGB_381	T1900045184_TC20190180_bin.262
SGB_382	T1900045235_TH20190005_bin.207
SGB_383	T1900045239_TH20190009_bin.23
SGB_384	T1900045240_TH20190010_bin.320
SGB_385	T1900045241_TH20190011_bin.6
SGB_386	T1900045245_TH20190015_bin.30
SGB_387	T1900045246_TH20190016_bin.211
SGB_388	T1900045246_TH20190016_bin.523
SGB_389	T1900045248_TH20190018_bin.203
SGB_390	T1900045248_TH20190018_bin.235
SGB_391	T1900045248_TH20190018_bin.508
SGB_392	T1900045249_TH20190019_bin.117
SGB_393	T1900045249_TH20190019_bin.12
SGB_394	T1900045249_TH20190019_bin.606
SGB_395	T1900045250_TH20190020_bin.665
SGB_396	T1900045257_TH20190027_bin.102
SGB_397	T1900045283_TH20190053_bin.41
SGB_398	T1900045287_TH20190057_bin.302
SGB_399	T1900045293_TH20190063_bin.260
SGB_400	T1900045295_TH20190065_bin.39
SGB_401	T1900045299_TH20190069_bin.219
SGB_402	T1900045301_TH20190071_bin.199
SGB_403	T1900045301_TH20190071_bin.236
SGB_404	T1900045303_TH20190073_bin.73
SGB_405	T1900045305_TH20190075_bin.58
SGB_406	T1900045308_TH20190078_bin.41
SGB_407	T1900045313_YK20190002_bin.469
SGB_408	T1900045320_YK20190009_bin.211
SGB_409	T1900045323_YK20190012_bin.191
SGB_410	T1900045324_YK20190013_bin.250
SGB_411	T1900045328_YK20190017_bin.92
SGB_412	T1900045337_YK20190026_bin.63
SGB_413	T1900045339_YK20190028_bin.47
SGB_414	T1900045341_YK20190031_bin.3
SGB_415	T1900045341_YK20190031_bin.76
SGB_416	T1900045349_YK20190039_bin.40
SGB_417	T1900045352_YK20190042_bin.270
SGB_418	T1900045352_YK20190042_bin.303
SGB_419	T1900045355_YK20190045_bin.135
SGB_420	T1900045359_YK20190049_bin.7
SGB_421	T1900045399_YK20190089_bin.160
SGB_422	T1900045404_YK20190094_bin.163
SGB_423	T1900045408_YK20190098_bin.192
SGB_424	T1900045411_YK20190101_bin.239
SGB_425	T1900045417_YK20190107_bin.154
SGB_426	T1900045419_YK20190109_bin.261
SGB_427	T1900045420_YK20190110_bin.188
SGB_428	T1900045422_YK20190112_bin.87
SGB_429	T1900045429_YK20190120_bin.239
SGB_430	T1900045430_YK20190121_bin.238
SGB_431	T1900045442_YK20190133_bin.189
SGB_432	T1900045450_YK20190141_bin.102
SGB_433	T1900045455_YK20190146_bin.173
SGB_434	T1900045480_YK20190174_bin.17
SGB_435	T1900045481_YK20190175_bin.194
SGB_436	T1900045485_YK20190179_bin.199
SGB_437	T1900045486_YK20190180_bin.207
SGB_438	T1900045490_YK20190184_bin.130
SGB_439	T1900045494_YK20190188_bin.381
SGB_440	T1900045495_YK20190189_bin.99
SGB_441	T1900045498_YK20190192_bin.143
SGB_442	T1900045500_YK20190194_bin.270
SGB_443	T1900045511_YK20190205_bin.158
SGB_444	T1900045515_YK20190209_bin.107
SGB_445	T1900045515_YK20190209_bin.157
SGB_446	T1900045518_YK20190212_bin.27
SGB_447	T1900045525_YK20190219_bin.130
SGB_448	T1900045527_YK20190221_bin.43
SGB_449	T1900045528_YK20190222_bin.130
SGB_450	T1900045535_YK20190229_bin.46
SGB_451	T1900045548_YK20190242_bin.39
SGB_452	T1900045548_YK20190242_bin.4
SGB_453	T1900045548_YK20190242_bin.62
SGB_454	T1900045552_YK20190246_bin.60
SGB_455	T1900045554_YK20190248_bin.52
SGB_456	T1900045560_YK20190254_bin.203
SGB_457	T1900045564_YK20190258_bin.126
SGB_458	T1900045565_YK20190259_bin.360
SGB_459	T1900045567_YK20190261_bin.18
SGB_460	T1900045567_YK20190261_bin.30
SGB_461	T1900045568_YK20190262_bin.278
SGB_462	T1900045569_YK20190263_bin.124
SGB_463	T1900045628_YK20190322_bin.156
SGB_464	T1900045629_YK20190323_bin.212
SGB_465	T1900045632_YK20190326_bin.130
SGB_466	T1900045640_YK20190334_bin.6
SGB_467	T1900045645_YK20190339_bin.168
SGB_468	T1900045646_YK20190340_bin.37
SGB_469	T1900045650_YK20190344_bin.190
SGB_470	T1900045650_YK20190344_bin.295
SGB_471	T1900045661_YK20190355_bin.144
SGB_472	T1900045662_YK20190356_bin.346
SGB_473	T1900045666_YK20190360_bin.438
SGB_474	T1900045668_YK20190362_bin.1
SGB_475	T1900045673_YK20190367_bin.190
SGB_476	T1900045685_YK20190379_bin.91
SGB_477	T1900045688_YK20190382_bin.66
SGB_478	T1900045693_YK20190387_bin.111
SGB_479	T1900045693_YK20190387_bin.27
SGB_480	T1900045693_YK20190387_bin.66
SGB_481	T1900045700_YK20190394_bin.25
SGB_482	T1900045704_YK20190398_bin.210
SGB_483	T1900045705_YK20190399_bin.54
SGB_484	T1900045707_YK20190401_bin.95
SGB_485	T1900045709_YK20190403_bin.412
SGB_486	T1900045714_YK20190408_bin.188
SGB_487	T1900045717_YK20190411_bin.298
SGB_488	T1900045729_YK20190423_bin.121
SGB_489	T1900045754_YK20190448_bin.179
SGB_490	T1900045774_TC20190228_bin.55
SGB_491	T2001009361_TS20190215_bin.92
SGB_492	T2001009370_Yak-NA_bin.282
SGB_493	TP20200812-DBC1_DT2009055224-1_bin.165
SGB_494	TP20200812-DBC17_DT2009055240-1_bin.301
SGB_495	TP20200812-DBC22_DT2009055245-1_bin.35
SGB_496	TP20200812-DBC33_DT2009055256-1_bin.118
SGB_497	TP20200812-DBC33_DT2009055256-1_bin.281
SGB_498	TP20200812-DBC39_DT2009055262-1_bin.76
SGB_499	TP20200812-DBC4_DT2009055227-1_bin.15
SGB_500	TP20200812-DBC44_DT2009055267-1_bin.386
SGB_501	TP20200812-DBC47_DT2009055270-1_bin.327
SGB_502	TP20200812-DBC5_DT2009055228-1_bin.240
SGB_503	TP20200812-DBC51_DT2009055274-1_bin.329
SGB_504	TP20200812-DBC52_DT2009055275-1_bin.265
SGB_505	TP20200812-DBC58_DT2009055281-1_bin.87
SGB_506	TP20200812-DBC60_DT2009055283-1_bin.195
SGB_507	TP20200812-DBC68_DT2009055291-1_bin.27
SGB_508	TP20200812-DBC75_DT2009055298-1_bin.208
SGB_509	TP20200812-DBC85_DT2009055308-1_bin.45
SGB_510	TP20200812-DBC93_DT2009055316-1_bin.150
SGB_511	TP20200814-DZC13_DT2009055341-1_bin.134
SGB_512	TP20200814-DZC20_DT2009055348-1_bin.157
SGB_513	TP20200814-DZC26_DT2009055354-1_bin.67
SGB_514	TP20200814-DZC27_DT2009055355-1_bin.254
SGB_515	TP20200814-DZC4_DT2009055332-1_bin.217
SGB_516	TP20200814-DZC5_DT2009055333-1_bin.88
SGB_517	TP20200814-DZC62_DT2009055390-1_bin.265
SGB_518	TP20200814-DZC80_DT2009055408-1_bin.167
SGB_519	TP20200814-DZC92_DT2009055420-1_bin.38
SGB_520	TP20200815-DZC13_DT2009055483-1_bin.143
SGB_521	TP20200815-DZC24_DT2009055494-1_bin.356
SGB_522	TP20200815-DZC26_DT2009055496-1_bin.11
SGB_523	TP20200815-DZC31_DT2009055501-1_bin.205
SGB_524	TP20200815-DZC38_DT2009055508-1_bin.280
SGB_525	TP20200815-DZC42_DT2009055512-1_bin.30
SGB_526	TP20200815-DZC68_DT2009055538-1_bin.23
SGB_527	TP20200815-DZC77_DT2009055547-1_bin.292
SGB_528	TP20200815-DZC77_DT2009055547-1_bin.297
SGB_529	TP20200815-DZC8_DT2009055478-1_bin.345
SGB_530	TP20200815-DZC9_DT2009055479-1_bin.107
SGB_531	TP20200823-QMN30_DT2009055555-1_bin.147
SGB_532	TP20200823-QMN73_DT2009055560-1_bin.125
SGB_533	TP20200823-QMN73_DT2009055560-1_bin.214
SGB_534	TP20200824-WDL54_DT2009055572-1_bin.223
SGB_535	TP20200824-WDL65_DT2009055576-1_bin.226
SGB_536	TP20200824-WDL70_DT2009055579-1_bin.130
SGB_537	TP20200825-WDL119_DT2009055619-1_bin.147
SGB_538	TP20200825-WDL41_DT2009055599-1_bin.181
SGB_539	TP20200825-WDL7_DT2009055593-1_bin.28
SGB_540	T1900045066_TC20190060_bin.238
SGB_541	T1900044761_TS20190227_bin.103
SGB_542	T1900045468_YK20190159_bin.38
SGB_543	T1900045627_YK20190321_bin.278
SGB_544	TP20200812-DBC102_DT2009055325-1_bin.15
SGB_545	TP20200815-DZC59_DT2009055529-1_bin.163
SGB_546	TP20200823-QMN30_DT2009055555-1_bin.120
SGB_547	TP20200824-WDL71_DT2009055580-1_bin.197
SGB_548	TP20200814-DZC95_DT2009055423-1_bin.80
SGB_549	TP20200814-DZC65_DT2009055393-1_bin.39
SGB_550	TP20200814-DZC65_DT2009055393-1_bin.26
SGB_551	TP20200814-DZC141_DT2009055469-1_bin.88
SGB_552	T1900044958_TA20190014_bin.61
SGB_553	T1900045001_TA20190063_bin.30
SGB_554	T1900045253_TH20190023_bin.320
SGB_555	T1900045243_TH20190013_bin.139
SGB_556	T1900044616_TS20190082_bin.178
SGB_557	T1900044597_TS20190063_bin.28
SGB_558	T1900045130_TC20190124_bin.113
SGB_559	T1900044535_TS20190001_bin.66
SGB_560	T1900044555_TS20190021_bin.468
SGB_561	T1900044571_TS20190037_bin.43
SGB_562	T1900044606_TS20190072_bin.268
SGB_563	T1900044632_TS20190098_bin.192
SGB_564	T1900044642_TS20190108_bin.417
SGB_565	T1900044695_TS20190161_bin.177
SGB_566	T1900044696_TS20190162_bin.187
SGB_567	T1900044714_TS20190180_bin.342
SGB_568	T1900044723_TS20190189_bin.263
SGB_569	T1900044730_TS20190196_bin.89
SGB_570	T1900044744_TS20190210_bin.159
SGB_571	T1900044749_TS20190415_bin.363
SGB_572	T1900044754_TS20190420_bin.80
SGB_573	T1900044756_TS20190222_bin.262
SGB_574	T1900044778_TS20190244_bin.195
