Sample,Coverage,Group
T1900044676_TS20190142,0.046753168,SGB_6458
T1900044677_TS20190143,0.060212771,SGB_6458
T1900044678_TS20190144,0.118389475,SGB_6458
T1900044679_TS20190145,0.284229898,SGB_6458
T1900044680_TS20190146,0.433865266,SGB_6458
T1900044681_TS20190147,0.081263731,SGB_6458
T1900044682_TS20190148,0.346923084,SGB_6458
T1900044683_TS20190149,0.029084796,SGB_6458
T1900044684_TS20190150,0.253859599,SGB_6458
T1900044685_TS20190151,0.14339465,SGB_6458
T1900044686_TS20190152,0.069354669,SGB_6458
T1900044687_TS20190153,0.57488881,SGB_6458
T1900044688_TS20190154,0.011941631,SGB_6458
T1900044689_TS20190155,0.477196914,SGB_6458
T1900044690_TS20190156,0.447974733,SGB_6458
T1900044691_TS20190157,0.524749684,SGB_6458
T1900044692_TS20190158,0.168390841,SGB_6458
T1900044693_TS20190159,0.051356498,SGB_6458
T1900044694_TS20190160,0.005454218,SGB_6458
T1900044695_TS20190161,0.605709821,SGB_6458
T1900044696_TS20190162,0.093125626,SGB_6458
T1900044697_TS20190163,0.006172962,SGB_6458
T1900044698_TS20190164,0.704128697,SGB_6458
T1900044699_TS20190165,0.182172007,SGB_6458
T1900044700_TS20190166,0.052766284,SGB_6458
T1900044701_TS20190167,0.746394582,SGB_6458
T1900044702_TS20190168,1.86127157,SGB_6458
T1900044703_TS20190169,0.103885822,SGB_6458
T1900044705_TS20190171,0.177305137,SGB_6458
T1900044706_TS20190172,3.000515474,SGB_6458
T1900044708_TS20190174,0.120487308,SGB_6458
T1900044709_TS20190175,0.687491273,SGB_6458
T1900044711_TS20190177,0.033212332,SGB_6458
T1900044713_TS20190179,1.003083112,SGB_6458
T1900044714_TS20190180,1.89203643,SGB_6458
T1900044715_TS20190181,0.710510918,SGB_6458
T1900044716_TS20190182,0.344823378,SGB_6458
T1900044717_TS20190183,0.205530435,SGB_6458
T1900044718_TS20190184,0.039407381,SGB_6458
T1900044719_TS20190185,0.062007759,SGB_6458
T1900044720_TS20190186,0.518687529,SGB_6458
T1900044722_TS20190188,0.34810115,SGB_6458
T1900044723_TS20190189,0.587265805,SGB_6458
T1900044724_TS20190190,0.066507021,SGB_6458
T1900044725_TS20190191,0.66240187,SGB_6458
T1900044726_TS20190192,0.093136482,SGB_6458
T1900044727_TS20190193,0.058533455,SGB_6458
T1900044728_TS20190194,1.126206938,SGB_6458
T1900044729_TS20190195,0.265450467,SGB_6458
T1900044730_TS20190196,0.671203114,SGB_6458
T1900044731_TS20190197,0.038958914,SGB_6458
T1900044732_TS20190198,0.149922866,SGB_6458
T1900044734_TS20190200,0.0495529,SGB_6458
T1900044735_TS20190201,0.01189596,SGB_6458
T1900044736_TS20190202,0.036062975,SGB_6458
T1900044737_TS20190203,0.785707628,SGB_6458
T1900044738_TS20190204,0.051499873,SGB_6458
T1900044739_TS20190205,0.314995132,SGB_6458
T1900044740_TS20190206,0.185315763,SGB_6458
T1900044741_TS20190207,0.920390503,SGB_6458
T1900044742_TS20190208,0.615907749,SGB_6458
T1900044743_TS20190209,0.406395024,SGB_6458
T1900044744_TS20190210,0.066639539,SGB_6458
T1900044745_TS20190211,0.45245977,SGB_6458
T1900044746_TS20190212,0.468322298,SGB_6458
T1900044747_TS20190213,1.445678122,SGB_6458
T1900044748_TS20190414,0.96546473,SGB_6458
T1900044749_TS20190415,0.256457933,SGB_6458
T1900044750_TS20190416,0.052865486,SGB_6458
T1900044751_TS20190417,2.15043572,SGB_6458
T1900044752_TS20190418,0.314989516,SGB_6458
T1900044754_TS20190420,1.032528403,SGB_6458
T1900044755_TS20190421,0.287929931,SGB_6458
T1900044756_TS20190222,0.082476612,SGB_6458
T1900044757_TS20190223,0.019465606,SGB_6458
T1900044758_TS20190224,0.026792676,SGB_6458
T1900044759_TS20190225,0.204806076,SGB_6458
T1900044760_TS20190226,0.058492652,SGB_6458
T1900044761_TS20190227,0.065745976,SGB_6458
T1900044762_TS20190228,0.031950787,SGB_6458
T1900044763_TS20190229,0.027662282,SGB_6458
T1900044764_TS20190230,0.030050982,SGB_6458
T1900044765_TS20190231,0.022086776,SGB_6458
T1900044766_TS20190232,0.066810615,SGB_6458
T1900044767_TS20190233,0.037308798,SGB_6458
T1900044768_TS20190234,0.061495279,SGB_6458
T1900044769_TS20190235,0.05223359,SGB_6458
T1900044770_TS20190236,0.059567399,SGB_6458
T1900044771_TS20190237,0.199923109,SGB_6458
T1900044772_TS20190238,0.029421707,SGB_6458
T1900044773_TS20190239,0.027575059,SGB_6458
T1900044774_TS20190240,0.004368615,SGB_6458
T1900044775_TS20190241,0.06953997,SGB_6458
T1900044776_TS20190242,0.039641347,SGB_6458
T1900044777_TS20190243,0.317930377,SGB_6458
T1900044778_TS20190244,0.066978696,SGB_6458
T1900044779_TS20190245,0.220009381,SGB_6458
T1900044780_TS20190246,0.036328761,SGB_6458
T1900044781_TS20190247,0.179131196,SGB_6458
T1900044782_TS20190248,0.409062612,SGB_6458
T1900044783_TS20190249,0.065453237,SGB_6458
T1900044784_TS20190250,0.046061377,SGB_6458
T1900044785_TS20190251,0.081397373,SGB_6458
