"","s1","s4","s6","s8","s10","s15","s20"
"665_0",0,0,0,0,1,0,0
"666_1",0,1,1,1,1,1,1
"667_1",0,0,1,1,0,1,1
"668_1",0,0,1,0,1,1,1
"669_1",0,1,0,1,1,1,1
"670_1",0,0,0,1,1,1,1
"671_1",0,1,1,1,1,1,1
"672_1",0,1,1,1,1,1,1
"672_2",1,1,0,0,0,0,0
"673_1",0,1,1,0,0,0,0
"673_2",1,1,1,1,1,1,1
"674_1",1,1,1,1,1,1,1
"675_0",0,0,0,0,0,0,1
"676_0",0,0,0,1,0,0,0
"677_1",1,1,1,1,1,1,1
"678_1",1,1,1,1,1,1,1
"679_1",1,1,1,1,1,1,1
"680_1",1,1,1,1,1,1,1
"681_1",1,1,1,1,1,1,1
"682_1",1,1,1,1,1,1,1
"683_1",1,1,1,1,1,1,1
"684_1",1,1,1,1,1,1,1
"685_1",0,0,0,1,0,1,0
"686_1",1,1,1,1,1,1,1
"687_1",1,1,1,1,1,1,1
"688_1",1,1,1,1,1,1,1
"689_1",1,1,1,1,1,1,1
"690_1",1,1,1,1,1,1,1
"691_1",1,1,1,1,1,1,1
"692_1",1,1,1,1,1,1,1
"693_1",0,1,1,1,1,1,1
"694_1",1,1,1,1,1,1,1
"695_1",1,1,1,1,1,1,1
"696_1",1,1,0,1,1,1,1
"697_1",1,1,1,1,1,1,1
"698_1",0,1,1,1,1,1,1
"699_1",0,0,1,1,1,1,1
"700_1",1,1,1,1,1,1,1
"701_1",1,1,1,1,1,1,1
"702_1",0,1,1,1,1,1,1
"703_0",0,0,0,0,0,0,1
"704_1",1,1,1,1,1,1,1
"705_1",0,1,0,0,1,1,0
"706_1",0,1,1,1,1,1,1
"707_1",1,1,1,1,1,1,1
"708_0",0,0,0,0,0,0,1
"709_1",0,0,1,1,0,0,1
"710_1",0,0,1,0,1,1,1
"711_1",1,1,1,1,1,1,1
"712_1",1,1,1,1,1,1,1
"713_0",0,0,0,0,0,0,1
"714_1",0,0,0,1,1,0,1
"715_1",0,0,1,1,1,1,1
"715_2",1,1,1,1,1,1,1
"716_1",1,1,1,1,1,1,1
"717_1",1,1,1,1,1,1,1
"718_1",1,1,1,1,1,1,1
"719_1",0,0,0,1,1,1,1
"720_1",1,1,1,1,1,1,1
"721_1",0,1,1,1,1,0,1
"722_1",0,0,0,0,0,1,1
"723_1",0,0,0,0,0,1,1
"724_1",0,0,0,0,1,1,1
"725_1",1,1,1,1,1,1,1
"726_1",1,1,1,1,1,1,1
"727_1",0,0,1,1,0,1,1
"727_2",0,1,1,1,1,1,1
"728_1",1,1,1,0,0,1,0
"729_1",1,1,1,0,1,1,1
"730_1",0,0,1,1,1,1,1
"731_1",1,1,1,1,1,1,1
"732_1",1,1,1,1,1,1,1
"733_1",0,0,0,1,0,1,1
"734_1",0,0,1,0,1,1,1
"735_1",0,0,1,1,1,1,1
"736_1",0,0,0,1,0,1,1
"737_1",0,1,1,1,1,1,1
"738_1",0,0,0,0,1,1,1
"739_1",0,1,1,1,1,1,1
"740_1",0,0,1,1,1,1,1
"741_1",1,1,1,1,1,1,1
"742_0",0,0,0,0,0,0,1
"743_1",0,1,0,0,0,1,0
"743_2",0,0,1,0,1,1,1
"744_1",0,0,1,1,1,1,1
"745_1",1,1,1,1,1,1,1
"745_2",0,1,1,1,1,1,1
"746_1",0,1,0,1,1,0,0
"746_2",0,1,1,1,1,1,1
"747_1",0,1,1,1,1,1,1
"748_1",0,1,1,1,1,1,1
"749_1",0,1,1,1,1,1,1
"750_1",0,0,1,1,0,0,1
"751_1",0,1,1,0,0,1,1
"752_1",0,0,1,1,1,1,1
"752_2",1,1,1,1,1,1,1
"753_1",0,1,1,1,1,1,1
"754_1",0,0,0,0,1,0,1
"755_1",0,1,1,1,1,1,1
"756_1",0,0,0,1,1,1,1
"757_1",0,1,0,1,1,1,1
"758_1",0,0,1,1,1,1,1
"759_1",0,0,0,1,1,1,1
"760_1",0,1,1,1,1,1,1
"761_1",0,1,1,1,1,1,1
"761_2",1,1,1,1,1,1,1
"762_1",0,0,0,0,0,1,1
"763_1",0,0,0,1,1,1,1
"764_1",0,0,1,1,1,1,1
"765_1",0,1,1,0,0,0,1
"766_1",0,1,1,1,1,1,1
"767_1",1,1,1,1,1,1,1
"768_1",0,1,1,1,1,1,1
"769_1",1,1,1,1,1,1,1
"770_1",0,0,1,1,1,1,1
"771_0",0,0,0,0,0,0,1
"772_1",0,1,1,1,1,1,1
"773_1",1,1,1,0,0,0,0
"774_1",0,1,1,1,1,1,1
"775_1",0,0,1,1,1,1,1
"776_1",0,1,1,0,0,0,0
"777_1",1,1,1,1,1,1,1
"778_1",0,0,1,1,0,0,0
"779_1",0,0,0,0,0,1,1
"780_1",1,1,1,1,1,1,1
"781_1",1,1,1,1,1,1,1
"782_1",1,1,1,1,1,1,1
"783_1",1,1,1,1,1,1,1
"783_2",0,0,1,1,1,1,1
"784_0",0,0,0,1,0,0,0
"785_1",1,1,0,1,1,1,1
"786_0",0,0,0,0,0,1,0
"787_1",1,1,1,1,1,1,1
"788_1",0,1,1,1,1,1,1
"789_1",1,1,1,1,1,1,1
"790_0",0,0,1,0,0,0,0
"791_1",1,1,1,1,1,1,1
"792_1",1,0,1,0,0,0,0
"793_1",1,1,1,1,1,1,1
"794_1",1,1,1,1,1,0,0
"795_0",0,0,0,0,0,0,1
"796_0",0,0,1,0,0,0,0
"797_1",1,1,1,1,1,1,1
"798_1",0,0,1,0,0,1,0
"799_1",1,1,1,1,1,1,1
"800_1",0,0,0,0,0,1,1
"801_1",0,1,1,1,1,1,1
"802_1",0,0,1,0,0,1,0
"803_0",0,0,0,0,1,0,0
"804_0",0,0,0,0,0,0,1
"805_1",0,1,1,1,1,1,1
"806_1",1,1,1,1,1,1,1
"807_1",1,1,1,1,1,1,1
"808_1",0,0,0,1,0,0,1
"809_1",1,1,1,1,1,1,1
"810_1",1,1,1,1,1,1,1
"811_1",0,1,1,1,1,1,1
"812_1",1,0,0,1,1,0,0
"813_1",1,1,1,1,1,1,1
"814_1",1,1,1,1,1,1,1
"814_2",1,1,1,1,1,1,1
"815_1",1,1,1,1,1,1,0
"816_1",0,0,1,1,0,1,1
"817_1",1,1,1,1,1,1,1
"818_1",0,0,0,1,1,1,1
"819_1",0,1,1,1,1,1,1
"820_0",0,0,0,0,0,0,1
"821_1",0,1,1,0,1,1,1
"822_1",0,1,0,1,0,0,1
"823_1",0,1,1,1,1,1,1
"824_0",0,0,1,0,0,0,0
"825_0",0,0,0,1,0,0,0
"826_1",1,1,1,1,1,1,1
"827_1",0,0,1,0,0,1,1
"828_1",0,0,0,0,1,1,1
"829_1",0,0,0,0,0,1,1
"830_1",0,1,0,1,1,1,1
"831_0",0,0,0,0,0,0,1
"832_1",1,1,1,1,1,1,1
"833_1",1,1,0,1,1,1,1
"834_0",0,0,0,0,0,0,1
"835_1",1,1,1,1,1,1,1
"836_1",1,0,1,0,0,0,0
"837_1",0,0,1,1,1,1,1
"838_1",1,1,1,1,1,1,1
"839_1",1,1,1,1,0,1,1
"840_1",0,1,0,0,0,0,1
"841_0",0,1,0,0,0,0,0
"842_1",0,0,0,0,0,1,1
"843_0",1,0,0,0,0,0,0
"844_1",1,1,1,1,1,1,1
"845_1",1,1,1,1,1,1,1
"846_1",1,1,1,1,1,1,1
"847_1",1,1,1,1,1,1,1
"848_1",1,1,1,1,1,1,1
"849_1",1,1,1,1,1,1,1
"850_1",0,1,1,1,1,1,1
"850_2",1,1,1,1,1,1,1
"851_1",1,1,1,1,1,1,1
"852_1",0,1,1,1,1,1,1
"853_1",0,1,1,1,1,1,1
"854_1",1,1,1,1,1,1,1
"855_1",0,1,1,1,1,1,1
"856_1",1,1,1,1,1,1,1
"857_1",0,0,1,0,1,1,1
"858_1",0,0,1,0,0,0,1
"859_1",1,1,1,1,1,1,1
"860_1",0,0,0,1,0,1,1
"861_0",0,0,1,0,0,0,0
"862_1",1,1,1,1,1,1,1
"863_1",0,0,0,1,1,1,1
"864_1",1,1,1,1,1,1,1
"865_1",1,1,1,1,1,1,1
"866_1",0,0,0,0,1,0,1
"867_0",0,0,0,0,0,0,1
"868_0",0,1,0,0,0,0,0
"869_1",1,1,1,1,1,1,1
"870_1",1,1,1,1,1,1,1
"871_1",1,1,1,1,1,1,1
"872_0",0,0,0,0,0,0,1
"873_1",1,1,1,1,1,1,1
"874_1",0,1,1,0,1,1,1
"875_1",1,1,1,1,1,1,1
"876_1",0,0,1,1,1,0,0
"877_1",0,1,1,1,1,1,1
"878_1",1,1,1,1,1,1,1
"879_1",1,1,1,1,1,1,1
"880_1",1,1,0,0,0,0,0
"881_1",1,1,1,1,1,1,1
"882_1",1,1,1,1,1,1,1
"883_1",1,1,1,1,1,1,1
"884_1",1,1,1,1,1,1,1
"885_1",0,0,1,0,0,1,0
"886_1",0,1,1,1,1,1,1
"887_1",0,1,1,1,1,1,1
"888_1",1,1,1,1,1,1,1
"889_1",1,1,1,1,1,1,1
"890_1",0,1,1,0,1,1,0
"891_1",1,1,1,1,1,1,1
"892_1",0,0,0,1,1,1,1
"893_0",0,0,0,0,0,1,0
"894_1",1,1,1,1,1,1,1
"895_1",1,1,1,1,1,1,1
"895_2",0,0,1,1,0,1,1
"896_1",1,1,0,1,1,1,0
"897_1",0,0,1,1,1,1,1
"898_1",1,1,1,1,1,1,1
"899_1",1,1,1,1,1,1,1
"900_1",1,1,1,1,1,1,1
"901_1",0,1,1,0,1,1,1
"902_1",1,1,1,1,1,1,1
"903_1",1,1,1,1,1,1,1
"904_1",0,1,1,1,1,1,1
"905_1",0,0,0,0,1,1,1
"906_1",0,0,0,1,1,1,1
"907_1",0,0,1,1,1,1,1
"908_1",0,0,1,0,1,0,1
"909_1",0,1,1,0,1,0,0
"910_1",0,1,1,1,1,1,1
"911_1",1,1,1,1,1,1,1
"912_1",1,1,1,1,1,1,1
"913_1",0,0,0,0,1,1,1
"913_2",1,1,1,1,1,1,1
"914_1",0,0,0,1,0,1,1
"915_0",0,0,0,0,0,0,1
"916_1",0,0,0,0,1,1,1
"917_1",0,1,1,1,1,1,1
"918_1",0,0,1,1,1,1,1
"919_1",1,1,1,1,1,1,1
"920_1",0,0,0,1,0,1,1
"921_1",0,1,1,0,0,1,1
"922_1",0,1,1,0,0,1,1
"923_1",0,1,1,1,1,0,1
"924_1",0,1,1,1,1,1,1
"925_1",0,0,0,1,1,1,1
"926_1",0,0,0,1,0,1,1
"927_1",0,0,1,0,0,1,1
"928_0",0,0,0,0,0,0,1
"929_1",1,0,0,0,0,1,1
"930_1",1,1,1,1,1,1,1
"931_1",1,1,1,1,1,1,1
"932_0",0,0,0,0,0,0,1
"933_1",1,1,1,1,0,1,1
"934_1",1,1,1,0,1,1,1
"935_1",0,0,0,0,0,1,1
"936_0",0,0,0,0,0,1,0
"937_1",1,1,1,1,1,1,1
"938_1",1,1,1,1,1,1,1
"939_1",0,0,0,1,0,1,1
"940_1",0,0,0,1,1,1,1
"941_1",0,0,1,1,1,1,1
"942_1",0,1,0,1,1,1,0
"943_1",0,0,1,0,0,0,1
"944_1",0,0,0,0,0,1,1
"945_1",0,0,1,0,1,0,1
"946_1",0,1,1,0,1,1,1
"947_1",0,0,0,0,1,1,1
"948_1",0,0,0,1,0,0,1
"949_1",0,0,1,0,1,1,1
"950_1",0,1,0,1,1,1,1
"951_1",0,1,1,1,1,1,1
"952_1",0,0,1,1,1,1,1
"953_1",0,0,0,0,0,1,1
"954_1",1,1,1,1,1,1,1
"955_1",0,0,1,1,1,1,0
"956_1",0,0,1,0,1,1,1
"957_1",0,0,1,0,0,1,1
"958_1",1,1,1,1,1,1,1
"959_1",0,0,0,1,1,0,1
"959_2",1,1,1,1,1,1,1
"960_1",0,1,1,1,1,1,1
"960_2",0,0,0,0,0,0,1
"961_1",1,1,1,1,1,1,1
"962_1",1,1,1,1,1,1,1
"963_1",0,1,1,1,1,1,1
"964_1",0,0,1,1,1,1,1
"965_1",1,1,1,1,1,1,1
"966_1",1,1,1,1,1,1,1
"967_1",1,1,1,1,1,1,1
"968_1",1,1,1,1,1,1,1
"969_1",1,1,1,1,1,1,1
"970_1",1,1,1,1,1,1,1
"971_0",0,0,0,0,0,0,1
"972_0",0,0,0,0,1,0,0
"973_0",0,0,0,0,0,0,1
"974_1",0,0,0,0,0,1,1
"975_1",1,1,1,1,1,0,0
"976_1",1,1,1,1,1,1,1
"977_1",1,1,1,1,1,1,1
"977_2",0,1,1,1,1,1,1
"978_1",0,1,1,1,1,1,1
"979_1",1,1,1,1,1,1,1
"980_1",1,1,1,1,1,1,1
"981_1",1,1,1,1,1,1,1
"982_1",1,0,0,1,1,1,1
"983_1",1,1,1,1,1,1,1
"984_1",1,1,1,1,1,1,1
"985_1",1,1,1,1,1,1,1
"986_1",1,1,1,1,1,1,1
"987_1",1,1,1,1,1,1,1
"988_1",0,1,1,1,1,1,1
"989_1",1,1,1,1,1,1,1
"990_1",0,1,1,1,1,1,1
"991_1",0,1,1,0,1,1,0
"992_1",1,1,1,1,1,1,1
"993_1",0,0,0,0,0,1,1
"994_1",0,0,1,1,1,1,1
"995_1",0,1,1,1,1,1,1
"996_1",0,1,1,1,1,1,1
"997_1",0,1,0,0,0,1,1
"998_1",0,1,1,1,1,1,1
"999_1",1,1,1,1,1,1,1
"1000_1",0,1,1,1,1,1,1
"1001_0",0,0,0,0,0,1,0
"1002_1",0,0,1,1,0,1,1
"1003_1",1,1,1,1,1,1,1
"1004_1",1,1,1,1,1,1,1
"1005_1",0,0,0,0,1,0,1
"1006_1",1,1,1,1,1,1,1
"1007_1",0,1,0,0,0,1,1
"1008_1",0,0,1,1,1,1,1
"1009_1",1,1,1,1,1,1,1
"1010_1",1,0,1,1,1,1,1
"1011_1",1,1,1,1,1,1,1
"1012_1",1,1,1,1,1,1,1
"1013_1",1,1,1,1,1,1,1
"1014_1",1,1,1,1,1,1,1
"1015_1",1,1,1,1,1,1,1
"1016_1",0,0,0,1,1,1,1
"1017_1",0,0,1,1,1,1,1
"1018_1",1,1,1,1,0,1,0
"1019_1",0,1,1,1,1,1,1
"1020_1",1,1,1,1,1,1,1
"1020_2",1,1,1,1,1,1,1
"1021_1",1,1,1,1,1,1,1
"1022_1",1,1,1,1,1,1,1
"1023_1",1,1,1,1,1,1,1
"1024_1",1,1,1,1,1,1,1
"1025_1",0,1,1,1,1,1,1
"1026_1",0,0,1,1,0,1,1
"1027_1",1,1,1,1,1,1,1
"1028_1",1,0,1,1,1,1,1
"1028_2",0,1,1,0,1,0,0
"1029_1",0,0,0,0,0,1,1
"1030_1",1,1,1,1,1,1,1
"1031_1",0,0,1,1,1,1,1
"1032_1",0,0,1,1,1,1,1
"1033_1",0,0,0,0,0,1,1
"1034_1",0,0,1,0,0,1,1
"1035_1",1,1,1,1,1,1,1
"1036_1",1,1,1,1,1,1,1
"1037_1",0,1,1,1,1,1,1
"1038_1",1,1,1,1,1,1,1
"1039_1",0,1,1,1,1,1,1
"1040_1",1,1,1,1,1,1,1
"1041_1",1,1,1,1,1,1,1
"1042_1",0,1,1,1,1,1,1
"1043_1",0,0,1,1,1,1,1
"1044_1",0,1,1,1,1,1,1
"1045_1",0,1,0,1,1,1,1
"1046_1",0,0,0,0,1,1,1
"1046_2",0,0,1,1,1,0,1
"1047_1",0,1,1,1,1,1,1
"1048_1",1,1,1,1,1,1,1
"1049_1",1,1,1,1,1,1,1
"1050_1",0,1,1,1,1,1,1
"1051_1",0,1,1,1,1,1,1
"1052_0",0,0,0,0,0,1,0
"1053_1",1,1,1,1,1,1,1
"1054_1",0,0,1,1,1,1,1
"1055_1",1,1,1,1,1,1,1
"1056_1",0,0,1,1,1,1,1
"1057_1",1,1,1,1,1,1,1
"1058_1",1,1,1,1,1,1,1
"1059_1",0,1,1,1,1,1,1
"1060_1",0,1,1,1,1,1,1
"1061_1",0,1,1,1,1,1,1
"1062_1",1,1,1,1,1,1,1
"1063_1",1,1,1,1,1,1,1
"1064_1",0,1,1,1,1,1,1
"1065_1",1,1,1,1,1,1,1
"1066_1",1,1,1,1,1,1,1
"1067_1",1,1,1,1,1,1,1
"1068_1",1,1,1,1,1,0,0
"1069_1",0,1,1,1,1,1,1
"1070_0",0,0,0,1,0,0,0
"1071_1",1,1,1,1,1,1,1
"1072_1",1,1,1,1,1,1,1
"1073_1",1,1,1,1,1,1,1
"1074_1",0,1,1,1,1,1,1
"1075_1",1,1,1,1,1,1,1
"1076_1",1,1,1,1,1,1,1
"1077_1",1,1,1,1,1,1,1
"1078_1",1,1,1,1,1,1,1
"1079_1",1,1,1,1,1,1,1
"1080_1",1,1,1,1,1,1,1
"1081_1",1,0,1,1,1,1,1
"1082_1",1,1,1,1,1,1,1
"1083_1",1,1,1,1,1,1,1
"1084_1",1,0,1,1,1,1,1
"1085_1",0,1,1,1,1,1,1
"1086_1",0,1,1,1,1,1,1
"1087_1",0,1,1,1,1,1,1
"1088_0",0,0,0,0,0,1,0
"1089_1",0,0,0,1,1,1,1
"1090_0",0,0,0,0,0,0,1
"1091_1",0,1,1,1,1,1,1
"1092_1",0,0,1,1,1,1,1
"1093_1",1,1,1,1,1,1,1
"1094_1",0,0,0,0,0,1,1
"1095_1",0,1,1,1,1,1,1
"1096_1",1,1,1,1,1,1,1
"1097_1",1,1,1,1,1,1,1
"1098_1",0,0,0,0,1,0,1
"1099_1",0,1,1,1,1,1,1
"1100_1",1,1,1,1,1,1,1
"1101_1",0,0,1,1,1,1,1
"1102_1",0,0,1,1,1,1,1
"1103_1",1,1,1,1,1,1,1
"1104_1",1,1,1,1,1,1,1
"1105_1",1,1,1,1,1,1,1
"1106_1",0,1,1,1,1,1,1
"1107_1",0,1,1,1,1,1,1
"1107_2",0,0,1,1,1,1,1
"1108_1",1,1,1,1,1,1,1
"1109_1",0,0,0,0,1,1,1
"1110_1",1,1,1,1,1,1,1
"1110_2",1,1,1,1,1,1,1
"1111_1",0,0,0,0,0,1,1
"1112_1",0,1,1,1,1,0,1
"1113_1",1,1,1,1,1,1,1
"1114_1",1,1,1,1,1,1,1
"1115_1",0,1,1,1,1,1,1
"1116_1",0,0,0,1,1,1,1
"1117_1",0,0,0,1,0,1,1
"1118_1",0,0,0,1,1,1,1
"1119_1",1,1,1,1,1,1,1
"1120_1",0,0,0,0,1,1,0
"1121_1",0,1,1,1,1,1,1
"1121_2",0,1,0,0,1,1,1
"1121_3",0,0,0,0,0,0,1
"1122_0",0,0,0,0,0,0,1
"1123_1",0,1,1,1,1,1,1
"1124_1",0,1,1,0,1,1,1
"1125_1",1,1,1,1,1,1,1
"1126_1",0,1,1,0,1,1,1
"1127_1",1,1,1,1,1,1,1
"1128_0",0,0,0,0,0,0,1
"1129_1",0,0,0,0,1,1,1
"1130_1",1,1,1,1,1,1,1
"1131_1",1,1,1,1,1,1,1
"1132_1",1,1,1,1,1,1,1
"1133_1",1,1,1,1,1,1,1
"1134_1",1,1,1,1,1,1,1
"1135_1",1,1,1,0,0,1,1
"1136_1",1,1,1,1,1,1,1
"1137_1",1,1,1,1,1,1,1
"1138_1",1,1,1,1,1,1,1
"1139_1",0,1,1,1,1,1,1
"1140_1",1,1,1,1,1,1,1
"1141_1",0,1,1,1,1,1,1
"1142_1",0,1,1,1,1,1,1
"1143_1",1,1,1,1,1,1,1
"1144_0",0,0,0,0,0,0,1
"1145_1",0,1,0,1,1,1,1
"1146_0",0,0,1,0,0,0,0
"1147_1",0,0,1,0,1,1,0
"1148_1",0,0,0,1,1,1,1
"1149_1",0,1,1,1,1,1,1
"1150_1",0,0,1,1,1,1,1
"1151_1",0,1,0,1,1,1,1
"1152_1",0,0,0,0,1,1,1
"1153_1",0,0,0,0,0,1,1
"1154_1",0,0,0,0,0,1,1
"1155_1",0,1,1,1,1,1,0
"1156_0",0,0,0,0,0,0,1
"1157_1",0,1,1,0,0,0,0
"1158_1",0,1,1,1,1,0,0
"1159_1",0,1,1,1,1,1,1
"1160_1",0,1,1,1,1,1,1
"1161_1",0,1,1,1,1,1,1
"1162_1",0,1,0,0,1,1,1
"1163_1",1,1,1,1,1,1,1
"1164_1",1,1,1,1,1,1,1
"1165_1",0,1,0,0,1,1,1
"1166_1",1,1,1,1,1,0,1
"1167_1",0,1,0,1,1,1,1
"1168_1",0,0,0,1,1,1,1
"1169_1",1,1,1,1,1,1,1
"1170_1",0,1,1,1,1,1,1
"1171_1",1,1,1,1,1,1,1
"1172_0",0,0,0,0,0,0,1
"1173_1",1,1,1,1,1,1,1
"1174_1",0,0,1,1,1,1,1
"1175_1",1,1,1,1,1,1,1
"1176_1",1,1,1,1,1,1,1
"1177_1",1,1,1,1,1,1,1
"1178_1",0,1,1,1,1,1,1
"1179_1",1,1,1,1,1,1,1
"1180_1",0,1,1,1,1,1,1
"1181_1",1,1,1,1,1,1,1
"1182_1",1,1,1,1,1,1,1
"1183_1",1,1,1,1,1,1,1
"1184_1",0,0,0,0,1,0,1
"1185_0",0,0,0,0,0,0,1
"1186_1",1,1,1,1,1,1,1
"1187_1",1,1,1,1,1,1,1
"1188_1",0,1,1,1,1,1,1
"1189_1",0,0,0,0,0,1,1
"1190_1",0,0,0,0,1,0,1
"1191_0",0,0,1,0,0,0,0
"1192_1",0,0,0,1,1,1,1
"1193_1",0,1,1,1,1,1,1
"1194_1",1,1,1,1,1,1,1
"1195_1",1,1,1,1,1,1,1
"1196_1",0,1,1,1,1,1,1
"1197_1",0,0,1,1,1,1,1
"1198_1",1,1,1,1,1,1,1
"1199_1",1,1,1,1,1,1,1
"1200_1",1,1,1,1,1,1,1
"1201_1",1,1,1,1,1,1,1
"1202_1",1,1,1,1,1,1,1
"1203_1",1,1,1,1,1,1,1
"1204_1",1,1,1,1,1,1,1
"1205_1",1,1,1,1,1,1,1
"1206_1",0,1,1,1,1,1,1
"1207_1",1,1,1,1,1,1,1
"1208_1",0,0,0,0,0,1,1
"1209_1",1,1,1,1,1,1,1
"1210_1",1,1,1,1,1,1,1
"1211_1",1,1,1,1,1,1,1
"1212_1",1,1,1,1,1,1,1
"1213_1",1,1,1,1,1,1,1
"1214_1",1,0,1,1,1,1,1
"1215_1",1,1,1,1,1,1,1
"1216_1",1,1,0,1,1,1,1
"1217_1",1,1,1,1,1,1,1
"1218_0",0,0,1,0,0,0,0
"1219_1",0,0,0,1,1,1,1
"1220_1",1,1,1,1,1,1,1
"1221_1",0,1,1,1,1,1,1
"1222_1",1,1,1,1,1,1,1
"1223_1",0,0,0,1,1,0,1
"1224_1",1,1,1,1,1,1,1
"1225_1",1,1,1,1,1,1,1
"1226_1",0,1,1,1,1,1,1
"1226_2",0,0,1,0,0,0,0
"1227_1",0,0,1,1,1,1,1
"1228_1",0,0,0,1,0,1,1
"1229_1",0,1,1,1,1,1,1
"1230_1",0,0,1,1,1,1,1
"1231_1",0,0,0,0,1,1,0
"1232_1",0,1,1,1,1,1,1
"1233_1",0,0,0,0,0,1,1
"1233_2",1,1,1,1,1,1,1
"1234_1",1,1,1,1,1,1,1
"1235_1",1,1,1,1,1,1,1
"1236_1",0,1,1,1,1,1,1
"1237_1",1,1,1,1,1,1,1
"1238_1",0,0,1,0,1,0,0
"1239_1",1,1,1,1,1,1,1
"1240_1",1,1,1,1,1,1,1
"1241_1",1,1,1,1,1,1,1
"1242_1",0,0,0,0,1,0,1
"1243_1",1,1,1,1,1,1,1
"1244_1",1,1,1,1,1,0,0
"1245_1",0,1,0,1,1,1,1
"1246_0",0,0,1,0,0,0,0
"1247_1",1,1,1,1,1,1,1
"1248_1",1,1,1,1,1,1,1
"1249_1",0,1,1,1,1,1,1
"1250_1",0,1,0,1,1,1,1
"1251_0",0,0,0,0,0,1,0
"1252_1",1,1,1,1,1,1,1
"1253_1",0,1,0,1,1,0,0
"1254_1",0,1,0,1,1,1,1
"1255_1",1,1,1,1,1,1,1
"1256_0",0,0,0,0,0,1,0
"1257_0",1,0,0,0,0,0,0
"1258_1",1,1,1,1,1,1,1
"1258_2",1,1,1,1,1,1,1
"1259_1",1,1,1,1,1,1,1
"1260_1",1,1,1,1,1,1,1
"1261_1",1,1,1,1,1,1,1
"1261_2",1,1,1,1,1,1,1
"1262_1",1,1,1,1,1,1,1
"1263_1",1,1,1,1,1,1,1
"1264_1",0,0,1,0,1,1,1
"1265_0",0,0,0,0,0,0,1
"1266_1",0,0,0,1,1,1,1
"1267_0",0,0,0,0,0,0,1
"1268_1",1,1,1,1,1,1,1
"1269_1",0,1,1,1,1,0,0
"1270_1",0,1,1,1,1,1,1
"1271_1",1,1,1,1,1,1,1
"1271_2",1,1,1,1,1,1,1
"1272_1",1,1,1,1,1,1,1
"1273_1",0,0,0,1,1,1,1
"1274_1",0,0,0,1,1,1,1
"1275_1",1,1,1,1,1,1,1
"1276_1",0,0,0,0,0,1,1
"1277_1",0,0,0,1,1,1,0
"1278_1",0,1,1,1,1,1,1
"1279_1",0,0,0,0,1,0,1
"1280_1",1,1,1,1,1,1,1
"1281_0",0,0,0,0,0,0,1
"1282_1",1,1,1,1,1,1,1
"1283_1",1,1,1,1,1,1,1
"1283_2",1,1,1,1,1,1,1
"1284_1",1,1,1,1,1,1,1
"1285_1",1,1,1,1,1,1,1
"1286_1",1,1,1,1,1,1,1
"1287_1",0,0,0,0,1,1,0
"1288_1",1,1,1,1,1,1,1
"1289_1",0,0,0,0,0,1,1
"1290_1",0,0,1,0,1,0,1
"1291_0",0,0,0,0,0,1,0
"1292_0",0,0,0,0,0,0,1
"1293_1",1,1,1,1,1,1,1
"1294_1",1,1,1,1,1,1,1
"1295_1",0,1,1,1,1,1,1
"1296_1",1,1,1,1,1,1,1
"1297_1",1,1,1,1,1,1,1
"1298_1",1,1,1,1,1,1,1
"1299_1",1,1,1,1,1,1,1
"1300_1",0,1,1,1,1,1,1
"1301_1",1,1,1,1,1,1,1
"1302_1",1,1,1,1,1,1,1
"1303_1",1,1,1,1,1,1,1
"1304_1",0,1,1,1,1,1,1
"1305_1",0,1,1,0,0,1,1
"1306_1",1,1,1,1,1,1,1
"1307_1",1,1,1,1,1,1,1
"1308_1",1,1,1,1,1,1,1
"1309_1",1,1,1,1,1,1,1
"1310_1",0,1,1,1,1,1,1
"1311_1",0,0,0,0,0,1,1
"1312_1",0,0,0,1,1,1,1
"1313_1",1,1,1,1,1,1,1
"1314_0",0,1,0,0,0,0,0
"1315_1",0,0,0,1,1,0,0
"1315_2",0,0,0,1,1,1,1
"1316_0",0,0,0,0,0,0,1
"1317_1",1,1,1,1,1,1,1
"1318_1",0,1,1,1,1,0,1
"1319_1",0,0,0,0,1,1,1
"1319_2",0,1,1,1,1,1,1
"1320_1",1,1,1,1,1,1,1
"1321_1",0,0,0,1,1,1,1
"1322_1",1,1,1,1,1,1,1
"1323_1",1,1,1,1,1,1,1
"1323_2",1,1,1,1,1,1,1
"1324_1",1,1,1,1,1,1,1
"1325_1",1,1,1,1,1,1,1
"1326_1",0,1,1,1,1,1,1
"1327_1",1,1,1,1,1,1,1
"1328_1",1,1,1,1,1,1,1
"1329_1",1,1,1,1,1,1,1
"1330_1",0,0,1,0,1,1,1
"1331_0",0,0,0,0,0,0,1
"1332_1",1,1,1,1,1,1,1
"1333_1",1,1,1,1,1,1,1
"1334_1",0,1,0,1,0,1,1
"1335_1",1,1,1,1,1,1,1
"1336_1",0,0,1,1,1,1,1
"1337_1",1,1,1,1,1,1,1
"1338_1",1,1,1,1,1,1,1
"1339_1",1,1,1,1,1,1,1
"1340_1",1,1,1,1,1,1,1
"1341_0",0,0,0,0,0,1,0
"1342_1",0,1,1,1,1,1,1
"1343_0",0,0,0,0,1,0,0
"1344_1",1,1,1,1,1,1,1
"1345_1",0,1,1,1,1,1,1
"1346_1",1,1,1,1,1,1,1
"1347_1",1,1,1,1,1,1,1
