"","s1","s4","s6","s8","s10","s15","s20"
"148_1",0,0,0,0,1,1,1
"149_1",1,1,1,1,1,1,1
"150_1",0,1,1,1,1,1,1
"151_1",1,1,1,1,1,1,1
"152_1",1,1,0,0,0,1,1
"153_1",1,1,1,1,1,1,1
"154_1",1,1,1,1,1,1,1
"155_1",0,1,0,1,0,1,1
"155_2",0,0,0,1,1,1,1
"156_1",0,0,0,0,0,1,1
"157_1",0,1,1,0,0,1,1
"158_1",1,1,1,1,1,1,1
"159_1",0,1,1,1,1,1,1
"160_1",1,1,1,1,1,1,1
"161_1",0,0,0,0,0,1,1
"162_1",0,0,0,1,1,1,1
"163_1",0,0,1,0,1,0,0
"164_1",1,1,1,1,1,1,1
"165_1",0,1,1,1,1,1,1
"166_1",1,1,1,1,1,1,1
"167_1",0,0,0,1,0,1,0
"168_1",0,0,0,0,1,1,0
"168_2",1,0,1,1,0,1,0
"168_3",1,1,1,1,1,1,1
"168_4",0,0,0,0,0,0,1
"169_1",0,0,0,0,0,1,1
"170_1",1,1,1,0,0,0,0
"171_1",0,0,0,1,1,1,1
"172_1",1,1,1,1,1,1,1
"173_1",0,0,1,1,1,1,0
"174_1",1,1,1,1,1,1,1
"175_1",1,1,1,1,1,1,1
"176_1",1,1,1,1,1,1,1
"177_1",0,1,1,1,0,1,1
"178_1",1,1,1,1,1,1,1
"179_1",1,1,1,1,1,1,1
"180_1",1,1,1,1,1,1,1
"181_1",1,1,1,1,1,1,1
"182_1",1,1,1,1,1,1,1
"183_1",0,0,0,1,0,0,1
"184_1",0,1,1,1,1,1,1
"185_1",0,1,1,0,1,1,1
"186_1",1,1,1,1,1,1,1
"187_1",0,1,1,1,1,1,1
"188_1",0,0,0,1,1,1,1
"189_1",0,1,1,1,1,1,1
"190_1",1,1,1,1,1,1,1
"190_2",1,1,1,1,1,1,1
"191_1",1,1,1,1,1,1,1
"192_1",1,1,1,1,1,1,1
"193_1",1,1,1,1,1,1,1
"194_1",0,1,1,1,1,1,1
"195_1",1,1,0,0,0,0,0
"195_2",1,1,1,1,1,1,1
"196_1",0,0,1,1,1,1,1
"197_1",0,0,0,1,1,1,1
"198_1",0,0,0,0,0,1,1
"199_1",0,0,1,1,1,1,1
"200_1",0,0,1,1,1,1,1
"201_1",0,0,0,1,1,1,1
"202_1",0,0,1,1,1,1,1
"203_1",0,1,1,1,1,1,1
"204_1",1,1,1,1,1,1,1
"205_1",0,0,1,0,0,0,1
"206_1",1,1,1,1,1,1,1
"207_1",1,1,1,0,1,0,1
"208_1",1,1,1,1,1,1,1
"209_0",0,0,0,0,0,0,1
"210_1",0,1,1,1,1,1,1
"211_1",0,0,0,1,0,1,1
"212_1",1,1,1,1,1,1,1
"213_1",1,1,1,1,1,1,1
"214_1",0,0,0,1,0,1,1
"215_1",1,1,1,1,1,1,1
"216_1",1,0,0,0,1,0,0
"216_2",1,1,1,1,1,1,1
"217_1",0,1,0,1,1,0,1
"218_1",1,1,1,1,1,1,1
"219_1",0,0,0,1,1,1,1
"220_1",1,1,1,1,1,1,1
"221_1",1,1,1,1,0,1,1
"222_1",1,1,1,1,1,1,1
"223_1",1,1,1,1,1,1,1
"224_1",1,1,1,1,1,1,1
"225_1",1,1,1,1,1,1,1
"226_1",1,1,1,1,1,1,1
"227_1",1,1,1,0,1,1,1
"228_1",1,1,1,1,1,1,1
"228_2",1,1,1,1,1,0,0
"228_3",1,1,1,1,1,1,1
"228_4",1,1,1,1,1,1,1
"229_0",1,0,0,0,0,0,0
"230_1",1,1,1,1,1,1,1
"231_1",0,1,1,0,1,1,1
"232_1",1,1,1,1,1,1,1
"233_1",1,1,1,1,1,1,1
"234_1",1,1,1,1,1,1,1
"235_1",0,0,1,1,0,1,1
"236_1",1,1,1,1,1,1,1
"237_1",1,1,1,1,1,1,1
"238_1",1,1,1,1,1,1,1
"239_1",1,1,1,1,1,1,1
"240_1",1,1,1,1,1,1,1
"241_1",0,0,1,1,1,1,1
"241_2",0,1,0,1,1,0,1
"242_1",1,1,1,1,1,1,1
"243_1",1,1,1,1,1,1,1
"243_2",1,1,1,1,1,1,1
"244_1",1,1,1,1,1,1,1
"245_1",1,1,1,1,1,1,1
"246_1",1,1,1,1,1,1,1
"247_1",1,1,1,1,1,1,1
"248_1",1,1,1,1,1,1,1
"249_1",0,1,1,1,1,1,1
"250_1",1,1,1,1,1,1,1
"251_1",1,1,1,1,1,1,1
"252_1",1,1,1,1,1,1,1
"253_1",1,1,1,1,1,1,1
"253_2",1,1,1,1,1,1,1
"254_1",0,1,1,1,1,1,1
