Host	Sample_ID
TC	T1900045078_TC20190072
TC	T1900045022_TC20190015
TC	T1900045103_TC20190097
TC	T1900045023_TC20190016
TC	T1900045045_TC20190038
TC	T1900045095_TC20190089
TC	T1900045074_TC20190068
TC	T1900045098_TC20190092
TC	T1900045190_TC20190186
TC	T1900045214_TC20190210
TC	T1900045224_TC20190220
TC	T1900045072_TC20190066
TC	T1900045064_TC20190058
TC	T1900045068_TC20190062
TC	T1900045120_TC20190114
TC	T1900045119_TC20190113
TC	T1900045208_TC20190204
TC	T1900045118_TC20190112
TC	T1900045122_TC20190116
TC	T1900045121_TC20190115
TC	T1900045083_TC20190077
TC	T1900045046_TC20190039
TC	T1900045048_TC20190041
TC	T1900045056_TC20190049
TC	T1900045044_TC20190037
TC	T1900045053_TC20190046
TC	T1900045099_TC20190093
TC	T1900045092_TC20190086
TC	T1900045051_TC20190044
TC	T1900045058_TC20190051
TC	T1900045096_TC20190090
TC	T1900045011_TC20190004
TH	T1900045231_TH20190001
TH	T1900045232_TH20190002
TH	T1900045235_TH20190005
TH	T1900045236_TH20190006
TH	T1900045237_TH20190007
TH	T1900045238_TH20190008
TH	T1900045239_TH20190009
TH	T1900045240_TH20190010
TH	T1900045241_TH20190011
TH	T1900045242_TH20190012
TH	T1900045243_TH20190013
TH	T1900045244_TH20190014
TH	T1900045245_TH20190015
TH	T1900045246_TH20190016
TH	T1900045247_TH20190017
TH	T1900045248_TH20190018
TH	T1900045249_TH20190019
TH	T1900045250_TH20190020
TH	T1900045252_TH20190022
TH	T1900045253_TH20190023
TH	T1900045254_TH20190024
TH	T1900045255_TH20190025
TH	T1900045256_TH20190026
TH	T1900045257_TH20190027
TH	T1900045258_TH20190028
TH	T1900045259_TH20190029
TH	T1900045260_TH20190030
TH	T1900045261_TH20190031
TH	T1900045262_TH20190032
TH	T1900045263_TH20190033
TH	T1900045264_TH20190034
TH	T1900045265_TH20190035
TH	T1900045266_TH20190036
TH	T1900045267_TH20190037
TH	T1900045268_TH20190038
TH	T1900045269_TH20190039
TH	T1900045270_TH20190040
TH	T1900045271_TH20190041
TH	T1900045272_TH20190042
TH	T1900045273_TH20190043
TH	T1900045274_TH20190044
TH	T1900045275_TH20190045
TH	T1900045276_TH20190046
TH	T1900045277_TH20190047
TH	T1900045278_TH20190048
TH	T1900045279_TH20190049
TH	T1900045280_TH20190050
TH	T1900045281_TH20190051
TH	T1900045282_TH20190052
TH	T1900045283_TH20190053
TH	T1900045284_TH20190054
TH	T1900045285_TH20190055
TH	T1900045286_TH20190056
TH	T1900045287_TH20190057
TH	T1900045288_TH20190058
TH	T1900045290_TH20190060
TH	T1900045291_TH20190061
TH	T1900045292_TH20190062
TH	T1900045293_TH20190063
TH	T1900045294_TH20190064
TH	T1900045295_TH20190065
TH	T1900045296_TH20190066
TH	T1900045297_TH20190067
TH	T1900045298_TH20190068
TH	T1900045299_TH20190069
TH	T1900045300_TH20190070
TH	T1900045301_TH20190071
TH	T1900045302_TH20190072
TH	T1900045303_TH20190073
TH	T1900045304_TH20190074
TH	T1900045305_TH20190075
TH	T1900045306_TH20190076
TH	T1900045307_TH20190077
TH	T1900045308_TH20190078
TH	T1900045309_TH20190079
TH	T1900045310_TH20190080
TH	T1900045311_TH20190081
TH	T1900045289_TH20190059
TH	T2001009369_TH82
TS	T1900044535_TS20190001
TS	T1900044536_TS20190002
TS	T1900044537_TS20190003
TS	T1900044538_TS20190004
TS	T1900044539_TS20190005
TS	T1900044540_TS20190006
TS	T1900044541_TS20190007
TS	T1900044542_TS20190008
TS	T1900044543_TS20190009
TS	T1900044544_TS20190010
TS	T1900044545_TS20190011
TS	T1900044546_TS20190012
TS	T1900044547_TS20190013
TS	T1900044548_TS20190014
TS	T1900044549_TS20190015
TS	T1900044550_TS20190016
TS	T1900044551_TS20190017
TS	T1900044552_TS20190018
TS	T1900044553_TS20190019
TS	T1900044554_TS20190020
TS	T1900044555_TS20190021
TS	T1900044556_TS20190022
TS	T1900044557_TS20190023
TS	T1900044558_TS20190024
TS	T1900044559_TS20190025
TS	T1900044560_TS20190026
TS	T1900044561_TS20190027
TS	T1900044562_TS20190028
TS	T1900044563_TS20190029
TS	T1900044564_TS20190030
TS	T1900044565_TS20190031
TS	T1900044566_TS20190032
TS	T1900044567_TS20190033
TS	T1900044568_TS20190034
TS	T1900044569_TS20190035
TS	T1900044570_TS20190036
TS	T1900044571_TS20190037
TS	T1900044572_TS20190038
TS	T1900044573_TS20190039
TS	T1900044574_TS20190040
TS	T1900044575_TS20190041
TS	T1900044576_TS20190042
TS	T1900044577_TS20190043
TS	T1900044578_TS20190044
TS	T1900044579_TS20190045
TS	T1900044580_TS20190046
TS	T1900044581_TS20190047
TS	T1900044582_TS20190048
TS	T1900044583_TS20190049
TS	T1900044584_TS20190050
TS	T1900044585_TS20190051
TS	T1900044586_TS20190052
TS	T1900044587_TS20190053
TS	T1900044588_TS20190054
TS	T1900044589_TS20190055
TS	T1900044590_TS20190056
TS	T1900044591_TS20190057
TS	T1900044592_TS20190058
TS	T1900044593_TS20190059
TS	T1900044594_TS20190060
TS	T1900044595_TS20190061
TS	T1900044596_TS20190062
TS	T1900044597_TS20190063
TS	T1900044598_TS20190064
TS	T1900044599_TS20190065
TS	T1900044600_TS20190066
TS	T1900044601_TS20190067
TS	T1900044602_TS20190068
TS	T1900044604_TS20190070
TS	T1900044605_TS20190071
TS	T1900044606_TS20190072
TS	T1900044607_TS20190073
TS	T1900044608_TS20190074
TS	T1900044609_TS20190075
TS	T1900044610_TS20190076
TS	T1900044611_TS20190077
TS	T1900044612_TS20190078
TS	T1900044614_TS20190080
TS	T1900044615_TS20190081
TS	T1900044616_TS20190082
TS	T1900044620_TS20190086
TS	T1900044621_TS20190087
TS	T1900044622_TS20190088
TS	T1900044623_TS20190089
TS	T1900044625_TS20190091
TS	T1900044627_TS20190093
TS	T1900044630_TS20190096
TS	T1900044631_TS20190097
TS	T1900044632_TS20190098
TS	T1900044633_TS20190099
TS	T1900044634_TS20190100
TS	T1900044635_TS20190101
TS	T1900044636_TS20190102
TS	T1900044637_TS20190103
TS	T1900044638_TS20190104
TS	T1900044639_TS20190105
TS	T1900044640_TS20190106
TS	T1900044641_TS20190107
TS	T1900044643_TS20190109
TS	T1900044644_TS20190110
TS	T1900044645_TS20190111
TS	T1900044646_TS20190112
TS	T1900044647_TS20190113
TS	T1900044648_TS20190114
TS	T1900044649_TS20190115
TS	T1900044650_TS20190116
TS	T1900044651_TS20190117
TS	T1900044653_TS20190119
TS	T1900044654_TS20190120
TS	T1900044655_TS20190121
TS	T1900044657_TS20190123
TS	T1900044659_TS20190125
TS	T1900044660_TS20190126
TS	T1900044661_TS20190127
TS	T1900044663_TS20190129
TS	T1900044664_TS20190130
TS	T1900044665_TS20190131
TS	T1900044666_TS20190132
TS	T1900044669_TS20190135
TS	T1900044670_TS20190136
TS	T1900044679_TS20190145
TS	T1900044681_TS20190147
TS	T1900044682_TS20190148
TS	T1900044683_TS20190149
TS	T1900044684_TS20190150
TS	T1900044685_TS20190151
TS	T1900044686_TS20190152
TS	T1900044687_TS20190153
TS	T1900044689_TS20190155
TS	T1900044690_TS20190156
TS	T1900044691_TS20190157
TS	T1900044693_TS20190159
TS	T1900044694_TS20190160
TS	T1900044695_TS20190161
TS	T1900044696_TS20190162
TS	T1900044697_TS20190163
TS	T1900044698_TS20190164
TS	T1900044699_TS20190165
TS	T1900044700_TS20190166
TS	T1900044701_TS20190167
TS	T1900044702_TS20190168
TS	T1900044703_TS20190169
TS	T1900044705_TS20190171
TS	T1900044706_TS20190172
TS	T1900044708_TS20190174
TS	T1900044709_TS20190175
TS	T1900044711_TS20190177
TS	T1900044713_TS20190179
TS	T1900044714_TS20190180
TS	T1900044715_TS20190181
TS	T1900044716_TS20190182
TS	T1900044717_TS20190183
TS	T1900044718_TS20190184
TS	T1900044720_TS20190186
TS	T1900044722_TS20190188
TS	T1900044723_TS20190189
TS	T1900044724_TS20190190
TS	T1900044725_TS20190191
TS	T1900044727_TS20190193
TS	T1900044728_TS20190194
TS	T1900044729_TS20190195
TS	T1900044730_TS20190196
TS	T1900044732_TS20190198
TS	T1900044734_TS20190200
TS	T1900044735_TS20190201
TS	T1900044736_TS20190202
TS	T1900044737_TS20190203
TS	T1900044738_TS20190204
TS	T1900044739_TS20190205
TS	T1900044740_TS20190206
TS	T1900044741_TS20190207
TS	T1900044742_TS20190208
TS	T1900044743_TS20190209
TS	T1900044744_TS20190210
TS	T1900044745_TS20190211
TS	T1900044746_TS20190212
TS	T1900044747_TS20190213
TS	T1900044756_TS20190222
TS	T1900044757_TS20190223
TS	T1900044758_TS20190224
TS	T1900044759_TS20190225
TS	T1900044760_TS20190226
TS	T1900044761_TS20190227
TS	T1900044762_TS20190228
TS	T1900044763_TS20190229
TS	T1900044764_TS20190230
TS	T1900044765_TS20190231
TS	T1900044766_TS20190232
