SGB Name	Co.phylogeny.rate	Host.swap.rate
SGB_11271	0.660 	0.340 
SGB_11390	0.660 	0.340 
SGB_11696	0.660 	0.340 
SGB_12326	0.660 	0.340 
SGB_12512	0.660 	0.340 
SGB_12553	0.660 	0.340 
SGB_1315	0.660 	0.340 
SGB_13336	0.660 	0.340 
SGB_13379	0.660 	0.340 
SGB_1363	0.660 	0.340 
SGB_13669	0.660 	0.340 
SGB_13786	0.660 	0.340 
SGB_13998	0.660 	0.340 
SGB_2225	0.660 	0.340 
SGB_2771	0.660 	0.340 
SGB_6388	0.660 	0.340 
SGB_6616	0.660 	0.340 
SGB_7597	0.660 	0.340 
SGB_7652	0.660 	0.340 
SGB_9811	0.660 	0.340 
SGB_2386	0.359 	0.641 
SGB_4428	0.359 	0.641 
SGB_6550	0.359 	0.641 
SGB_6751	0.359 	0.641 
SGB_827	0.359 	0.641 
SGB_8688	0.359 	0.641 
SGB_11431	0.900 	0.100 
SGB_7460	0.900 	0.100 
SGB_11112	0.563 	0.438 
SGB_4241	0.563 	0.438 
SGB_4252	0.563 	0.438 
SGB_4306	0.563 	0.438 
SGB_5863	0.563 	0.438 
SGB_10509	0.651 	0.349 
SGB_11342	0.651 	0.349 
SGB_11519	0.651 	0.349 
SGB_11619	0.651 	0.349 
SGB_12038	0.651 	0.349 
SGB_12831	0.651 	0.349 
SGB_13083	0.651 	0.349 
SGB_13444	0.651 	0.349 
SGB_13670	0.651 	0.349 
SGB_2433	0.651 	0.349 
SGB_2975	0.651 	0.349 
SGB_3842	0.651 	0.349 
SGB_4962	0.651 	0.349 
SGB_7232	0.651 	0.349 
SGB_7960	0.651 	0.349 
SGB_10231	0.500 	0.500 
SGB_7218	0.500 	0.500 
SGB_9476	0.500 	0.500 
SGB_6846	0.615 	0.385 
SGB_11317	0.615 	0.385 
SGB_2743	0.615 	0.385 
SGB_203	0.615 	0.385 
SGB_6055	0.615 	0.385 
SGB_4475	0.603 	0.397 
SGB_4786	0.603 	0.397 
SGB_7211	0.603 	0.397 
SGB_7806	0.603 	0.397 
SGB_7929	0.603 	0.397 
SGB_8959	0.603 	0.397 
SGB_11230	0.579 	0.421 
SGB_12941	0.579 	0.421 
SGB_13327	0.579 	0.421 
SGB_14031	0.579 	0.421 
SGB_6401	0.579 	0.421 
SGB_4516	0.704 	0.296 
SGB_5387	0.704 	0.296 
SGB_6036	0.704 	0.296 
SGB_6125	0.704 	0.296 
SGB_6183	0.704 	0.296 
SGB_10656	0.475 	0.525 
SGB_10991	0.475 	0.525 
SGB_3508	0.475 	0.525 
SGB_4292	0.475 	0.525 
SGB_4309	0.475 	0.525 
SGB_6232	0.475 	0.525 
SGB_6973	0.475 	0.525 
SGB_7389	0.475 	0.525 
SGB_5228	0.778 	0.222 
SGB_13019	0.824 	0.176 
SGB_4692	0.824 	0.176 
SGB_5137	0.824 	0.176 
SGB_11322	0.375 	0.625 
SGB_10025	0.702 	0.298 
SGB_165	0.702 	0.298 
SGB_1787	0.702 	0.298 
SGB_8156	0.702 	0.298 
SGB_8356	0.702 	0.298 
SGB_10520	0.628 	0.372 
SGB_11000	0.628 	0.372 
SGB_8148	0.628 	0.372 
SGB_9932	0.628 	0.372 
SGB_3504	0.765 	0.235 
SGB_6548	0.765 	0.235 
SGB_2014	0.524 	0.476 
SGB_2888	0.524 	0.476 
SGB_5601	0.524 	0.476 
SGB_7766	0.524 	0.476 
SGB_5369	0.545 	0.455 
SGB_10280	0.646 	0.354 
SGB_10400	0.646 	0.354 
SGB_1065	0.646 	0.354 
SGB_11740	0.646 	0.354 
SGB_13109	0.646 	0.354 
SGB_2513	0.646 	0.354 
SGB_2871	0.646 	0.354 
SGB_3193	0.646 	0.354 
SGB_4071	0.646 	0.354 
SGB_4291	0.646 	0.354 
SGB_5942	0.646 	0.354 
SGB_7552	0.646 	0.354 
SGB_13227	0.389 	0.611 
SGB_4133	0.389 	0.611 
SGB_4176	0.389 	0.611 
SGB_4263	0.389 	0.611 
SGB_5877	0.389 	0.611 
SGB_6163	0.389 	0.611 
SGB_6972	0.389 	0.611 
SGB_5283	0.875 	0.125 
SGB_8138	0.875 	0.125 
SGB_13900	0.800 	0.200 
SGB_13586	0.640 	0.360 
SGB_8478	0.640 	0.360 
SGB_12995	0.714 	0.286 
SGB_2527	0.250 	0.750 
SGB_6458	0.250 	0.750 
SGB_3138	0.375 	0.625 
SGB_1473	0.480 	0.520 
SGB_1833	0.480 	0.520 
SGB_8492	0.480 	0.520 
SGB_2015	0.500 	0.500 
SGB_4147	0.500 	0.500 
SGB_4169	0.500 	0.500 
SGB_4173	0.500 	0.500 
SGB_4197	0.500 	0.500 
SGB_4224	0.500 	0.500 
SGB_4258	0.500 	0.500 
SGB_4308	0.500 	0.500 
SGB_5207	0.500 	0.500 
SGB_5794	0.500 	0.500 
SGB_5850	0.500 	0.500 
SGB_5959	0.500 	0.500 
SGB_6033	0.500 	0.500 
SGB_6138	0.500 	0.500 
SGB_6567	0.500 	0.500 
SGB_728	0.500 	0.500 
SGB_13073	0.588 	0.412 
SGB_2047	0.588 	0.412 
SGB_8084	0.588 	0.412 
SGB_3068	0.345 	0.655 
SGB_3986	0.345 	0.655 
SGB_4222	0.345 	0.655 
SGB_5381	0.345 	0.655 
SGB_6187	0.345 	0.655 
SGB_6214	0.345 	0.655 
SGB_7804	0.345 	0.655 
SGB_10893	0.667 	0.333 
SGB_1744	0.605 	0.395 
SGB_331	0.605 	0.395 
SGB_3807	0.605 	0.395 
SGB_4161	0.605 	0.395 
SGB_5851	0.605 	0.395 
SGB_5925	0.605 	0.395 
SGB_631	0.605 	0.395 
SGB_8406	0.605 	0.395 
SGB_12461	0.600 	0.400 
SGB_13167	0.600 	0.400 
SGB_1852	0.600 	0.400 
SGB_1858	0.600 	0.400 
SGB_4067	0.818 	0.182 
SGB_4254	0.818 	0.182 
SGB_4044	0.933 	0.067 
SGB_4333	0.933 	0.067 
SGB_5205	0.933 	0.067 
SGB_3626	0.586 	0.414 
SGB_4842	0.586 	0.414 
SGB_4966	0.586 	0.414 
SGB_5264	0.586 	0.414 
SGB_6750	0.586 	0.414 
SGB_7987	0.586 	0.414 
SGB_8993	0.586 	0.414 
SGB_1264	0.467 	0.533 
SGB_8698	0.467 	0.533 
SGB_1265	0.667 	0.333 
SGB_3397	0.444 	0.556 
SGB_3428	0.667 	0.333 
SGB_4061	0.667 	0.333 
