SGB	Host
SGB_18793	Tibetanass
SGB_18798	Tibetanass
SGB_18856	Tibetanass
SGB_18829	Tibetanass
SGB_18823	Tibetanhorse
SGB_18836	Yak
SGB_18847	Yak
SGB_18809	Tibetancattle
SGB_18806	Tibetancattle
SGB_18807	Tibetancattle
SGB_18801	Tibetancattle
SGB_18850	Tibetancattle
SGB_18848	Tibetancattle
SGB_18838	Tibetancattle
SGB_18772	Tibetancattle
SGB_18782	Tibetancattle
SGB_18812	Tibetancattle
