SGB,Freq,Host,Type
T1900044705_TS20190171_bin.14,0.988235294,Tibetan antelope,Common
T1900044714_TS20190180_bin.342,0.545098039,Tibetan antelope,Common
T1900044722_TS20190188_bin.121,0.592156863,Tibetan antelope,Common
T1900044722_TS20190188_bin.377,0.874509804,Tibetan antelope,Common
T1900044723_TS20190189_bin.263,0.850980392,Tibetan antelope,Common
T1900044730_TS20190196_bin.89,0.945098039,Tibetan antelope,Common
T1900044732_TS20190198_bin.210,0.898039216,Tibetan antelope,Common
T1900044740_TS20190206_bin.129,0.796078431,Tibetan antelope,Common
T1900044740_TS20190206_bin.187,0.584313725,Tibetan antelope,Common
T1900044743_TS20190209_bin.323,0.549019608,Tibetan antelope,Common
T1900044744_TS20190210_bin.159,0.968627451,Tibetan antelope,Common
T1900044747_TS20190213_bin.40,0.694117647,Tibetan antelope,Common
T1900044748_TS20190414_bin.171,0.803921569,Tibetan antelope,Common
T1900044749_TS20190415_bin.310,0.737254902,Tibetan antelope,Common
T1900044750_TS20190416_bin.518,0.682352941,Tibetan antelope,Common
T1900044750_TS20190416_bin.522,0.537254902,Tibetan antelope,Common
T1900044751_TS20190417_bin.195,0.890196078,Tibetan antelope,Common
T1900044752_TS20190418_bin.215,0.564705882,Tibetan antelope,Common
T1900044752_TS20190418_bin.7,0.729411765,Tibetan antelope,Common
T1900044754_TS20190420_bin.80,0.968627451,Tibetan antelope,Common
T1900044757_TS20190223_bin.192,0.815686275,Tibetan antelope,Common
T1900044757_TS20190223_bin.252,0.843137255,Tibetan antelope,Common
T1900044757_TS20190223_bin.255,0.541176471,Tibetan antelope,Common
T1900044757_TS20190223_bin.390,0.517647059,Tibetan antelope,Common
T1900044757_TS20190223_bin.40,0.6,Tibetan antelope,Common
T1900044757_TS20190223_bin.54,0.568627451,Tibetan antelope,Common
T1900044760_TS20190226_bin.68,0.603921569,Tibetan antelope,Common
T1900044761_TS20190227_bin.90,0.647058824,Tibetan antelope,Common
T1900044764_TS20190230_bin.41,0.917647059,Tibetan antelope,Common
T1900044765_TS20190231_bin.138,0.839215686,Tibetan antelope,Common
T1900044770_TS20190236_bin.144,0.960784314,Tibetan antelope,Common
T1900044773_TS20190239_bin.40,0.91372549,Tibetan antelope,Common
T1900044775_TS20190241_bin.186,0.745098039,Tibetan antelope,Common
T1900044777_TS20190243_bin.21,0.552941176,Tibetan antelope,Common
T1900044779_TS20190245_bin.176,0.678431373,Tibetan antelope,Common
T1900044779_TS20190245_bin.53,0.909803922,Tibetan antelope,Common
T1900044786_TS20190252_bin.161,0.564705882,Tibetan antelope,Common
T1900044788_TS20190254_bin.246,0.717647059,Tibetan antelope,Common
T1900044790_TS20190256_bin.4,0.615686275,Tibetan antelope,Common
T1900044796_TS20190262_bin.253,0.678431373,Tibetan antelope,Common
T1900044802_TS20190268_bin.183,0.556862745,Tibetan antelope,Common
T1900044802_TS20190268_bin.214,0.678431373,Tibetan antelope,Common
T1900044802_TS20190268_bin.340,0.992156863,Tibetan antelope,Common
T1900044805_TS20190271_bin.1,0.780392157,Tibetan antelope,Common
T1900044809_TS20190275_bin.142,0.88627451,Tibetan antelope,Common
T1900044810_TS20190276_bin.188,0.945098039,Tibetan antelope,Common
T1900044812_TS20190278_bin.59,0.909803922,Tibetan antelope,Common
T1900044813_TS20190279_bin.225,0.807843137,Tibetan antelope,Common
T1900044816_TS20190282_bin.8,0.71372549,Tibetan antelope,Common
T1900044823_TS20190289_bin.133,0.941176471,Tibetan antelope,Common
T1900044831_TS20190297_bin.253,0.541176471,Tibetan antelope,Common
T1900044844_TS20190310_bin.4,0.596078431,Tibetan antelope,Common
T1900044845_TS20190311_bin.220,0.674509804,Tibetan antelope,Common
T1900044853_TS20190319_bin.75,0.8,Tibetan antelope,Common
T1900044854_TS20190320_bin.225,0.552941176,Tibetan antelope,Common
T1900044854_TS20190320_bin.23,0.870588235,Tibetan antelope,Common
T1900044859_TS20190325_bin.200,0.811764706,Tibetan antelope,Common
T1900044860_TS20190326_bin.78,0.964705882,Tibetan antelope,Common
T1900044861_TS20190327_bin.80,0.854901961,Tibetan antelope,Common
T1900044862_TS20190328_bin.50,0.51372549,Tibetan antelope,Common
T1900044863_TS20190329_bin.103,0.694117647,Tibetan antelope,Common
T1900044865_TS20190331_bin.17,0.568627451,Tibetan antelope,Common
T1900044866_TS20190332_bin.135,0.823529412,Tibetan antelope,Common
T1900044867_TS20190333_bin.144,0.796078431,Tibetan antelope,Common
T1900044867_TS20190333_bin.85,0.57254902,Tibetan antelope,Common
T1900044868_TS20190334_bin.420,0.662745098,Tibetan antelope,Common
T1900044870_TS20190336_bin.154,0.525490196,Tibetan antelope,Common
T1900044872_TS20190338_bin.68,0.858823529,Tibetan antelope,Common
T1900044876_TS20190342_bin.27,0.941176471,Tibetan antelope,Common
T1900044877_TS20190343_bin.140,0.533333333,Tibetan antelope,Common
T1900044879_TS20190345_bin.130,0.623529412,Tibetan antelope,Common
T1900044883_TS20190349_bin.138,0.545098039,Tibetan antelope,Common
T1900044883_TS20190349_bin.33,0.51372549,Tibetan antelope,Common
T1900044916_TS20190382_bin.53,0.858823529,Tibetan antelope,Common
T1900044928_TS20190394_bin.165,0.71372549,Tibetan antelope,Common
T1900044928_TS20190394_bin.235,0.560784314,Tibetan antelope,Common
T1900044929_TS20190395_bin.118,0.909803922,Tibetan antelope,Common
T1900044929_TS20190395_bin.143,0.937254902,Tibetan antelope,Common
T1900044929_TS20190395_bin.216,0.701960784,Tibetan antelope,Common
T1900044935_TS20190401_bin.350,0.854901961,Tibetan antelope,Common
T1900044936_TS20190402_bin.99,0.643137255,Tibetan antelope,Common
