Sample_ID,PCoA1,PCoA2,Host
T1900045011_TC20190004,-0.00672461133941443,-0.12227835411098979,Tibetan_Cattle
T1900045013_TC20190006,0.04730396535387675,-0.09713311654428165,Tibetan_Cattle
T1900045019_TC20190012,-0.08013899035025335,-0.06618450198812026,Tibetan_Cattle
T1900045020_TC20190013,0.15675685603945913,-0.13356230847592335,Tibetan_Cattle
T1900045021_TC20190014,0.1385002282505292,-0.08951471017573412,Tibetan_Cattle
T1900045022_TC20190015,0.18851163966590967,-0.14050016782599306,Tibetan_Cattle
T1900045023_TC20190016,0.1709106404162182,-0.07194462016444764,Tibetan_Cattle
T1900045024_TC20190017,0.13839435610729006,-0.08080251158951796,Tibetan_Cattle
T1900045025_TC20190018,0.18433387068437626,-0.1235638155929219,Tibetan_Cattle
T1900045026_TC20190019,0.17167564484414918,-0.09532051554296665,Tibetan_Cattle
T1900045027_TC20190020,0.2213378554784494,-0.1498592171891217,Tibetan_Cattle
T1900045028_TC20190021,0.16162428470976098,-0.14378800226297828,Tibetan_Cattle
T1900045029_TC20190022,0.18511200739779465,-0.13710115897272462,Tibetan_Cattle
T1900045030_TC20190023,0.20870604576062668,-0.12452815441396559,Tibetan_Cattle
T1900045031_TC20190024,0.20358201479427865,-0.18500965156777033,Tibetan_Cattle
T1900045032_TC20190025,0.1722927295091457,-0.1354644369308156,Tibetan_Cattle
T1900045033_TC20190026,0.09815484169156445,-0.13247885986883767,Tibetan_Cattle
T1900045034_TC20190027,0.23987566050281267,-0.12592960866692515,Tibetan_Cattle
T1900045035_TC20190028,0.22170528612674598,-0.1262668019584167,Tibetan_Cattle
T1900045036_TC20190029,0.23348025920725968,-0.13967981196424778,Tibetan_Cattle
T1900045037_TC20190030,0.22708161020743808,-0.10232709793674624,Tibetan_Cattle
T1900045038_TC20190031,0.239464010992792,-0.16903209537046346,Tibetan_Cattle
T1900045039_TC20190032,0.1969639283434501,-0.1059894249017576,Tibetan_Cattle
T1900045040_TC20190033,0.18482502592189548,-0.09928220888280533,Tibetan_Cattle
T1900045041_TC20190034,0.24158216016874823,-0.12674131082970444,Tibetan_Cattle
T1900045042_TC20190035,0.24172714105334758,-0.11984561030061873,Tibetan_Cattle
