SGB_ID,T1900045231_TH20190001,T1900045232_TH20190002,T1900045235_TH20190005,T1900045236_TH20190006,T1900045237_TH20190007,T1900045238_TH20190008,T1900045239_TH20190009,T1900045240_TH20190010,T1900045241_TH20190011,T1900045242_TH20190012,T1900045243_TH20190013,T1900045244_TH20190014,T1900045245_TH20190015,T1900045246_TH20190016,T1900045247_TH20190017,T1900045248_TH20190018,T1900045249_TH20190019,T1900045250_TH20190020,T1900045252_TH20190022,T1900045253_TH20190023,T1900045254_TH20190024,T1900045255_TH20190025,T1900045256_TH20190026,T1900045257_TH20190027,T1900045258_TH20190028,T1900045259_TH20190029,T1900045260_TH20190030,T1900045261_TH20190031,T1900045262_TH20190032,T1900045263_TH20190033,T1900045264_TH20190034,T1900045265_TH20190035,T1900045266_TH20190036,T1900045267_TH20190037,T1900045268_TH20190038,T1900045269_TH20190039,T1900045270_TH20190040,T1900045271_TH20190041,T1900045272_TH20190042,T1900045273_TH20190043,T1900045274_TH20190044,T1900045275_TH20190045,T1900045276_TH20190046,T1900045277_TH20190047,T1900045278_TH20190048,T1900045279_TH20190049,T1900045280_TH20190050,T1900045281_TH20190051,T1900045282_TH20190052,T1900045283_TH20190053,T1900045284_TH20190054,T1900045285_TH20190055,T1900045286_TH20190056,T1900045287_TH20190057,T1900045288_TH20190058,T1900045289_TH20190059,T1900045290_TH20190060,T1900045291_TH20190061,T1900045292_TH20190062,T1900045293_TH20190063,T1900045294_TH20190064,T1900045295_TH20190065,T1900045296_TH20190066,T1900045297_TH20190067,T1900045298_TH20190068,T1900045299_TH20190069,T1900045300_TH20190070,T1900045301_TH20190071,T1900045302_TH20190072,T1900045303_TH20190073,T1900045304_TH20190074,T1900045305_TH20190075,T1900045306_TH20190076,T1900045307_TH20190077,T1900045308_TH20190078,T1900045309_TH20190079,T1900045310_TH20190080,T1900045311_TH20190081,T2001009369_TH82
T1900044594_TS20190060_bin.116,0.009218781254541222,0.0092966558759730155,0.00721051057299276,0.007640159813410613,0,0,0.010523366922810634,0,0.01199807813672419,0,0.0074046898901808066,0,0.030138802209595587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006683989754387247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1900044631_TS20190097_bin.205,0.04008423517891572,0,0,0,0,0.6425345462819455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1900044686_TS20190152_bin.20,0.27849231394768426,0,0,0.010562417915259715,0,0.27145122901060953,0.015077247335563445,0,0,0,0.019601405775698588,0.19662965739020224,0.03551783117792374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01932016717497523,0,0,0,0.01771574083908691,0,0,0.009094245758133427,0.030934763134461935,0.011495757299519446,0.011191254057571905,0,0.04729426903622838,0,0,0,0.011332026456652987,0.01731657386409652,0,0,0,0,0,0.013197231630847442,0.016382912388984816,0
T1900044698_TS20190164_bin.79,0.007304089816225158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1900044701_TS20190167_bin.42,0.030887620602928958,0.293052559035547,0,0.024871189191679008,0.014277079526396006,0.28402842778940185,0.09013911882875196,0,0,0,0.0686176338179859,0.19126789391557633,0.06310462875751212,0,0,0.03437101803004556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004853658888815621,0.13559447871524552,0.0596575563914803,0.004949346990560821,0,0.18031796971218386,0,0.004087603402800726,0.005052354550508419,0.08781538606307317,0.0516449476405203,0.0810708647296682,0,0.19509873179800152,0,0.014017661589903788,0,0.0393906939603778,0.08468045822819989,0.026928272011491484,0,0,0,0,0,0.030465395068035892,0
T1900044894_TS20190360_bin.186,0.031046347362032517,0,0,0,0,0.2764218417357731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1900044948_TA20190001_bin.339,0.009855875792152578,0.04949300073240488,0.035053014630061406,0.009393707603262785,0.02749100124217976,0,0.012856977543266522,0.015594976427328391,0.019941952096162594,0.04180658512057523,0.009380058382461713,0.04116357595836007,0.01356175979643268,0.015007197235459329,0.01341029193687413,0.06472349553474106,0.01776136913707743,0.033064618205652006,0.025304708685973388,0.03826985577310101,0.02781384923133158,0.023116353675859506,0.05894840906667811,0.03956222463410184,0.04161135737158799,0.02036010472434939,0.026446696668797082,0.018330068281598735,0.014742296576586192,0.19990629383163142,0.0203379549009156,0.044843476411193905,0.04275360263190193,0.018664124757371545,0.1049959838237821,0.03726519105785439,0.043434634829209604,0.044561887160943774,0.10025565891922936,0.021030946220204558,0.01743413329387581,0.03352402627197381,0.028284873776813567,0.021689796055583858,0.11099248904173754,0.025896989949056287,0.05818904505521576,0.023121956559379313,0.03792378832511881,0.03731800724583474,0.027192788266510153,0.04215760017910277,0.03317554634159182,0.038357613341370486,0.03917748607156348,0.036219214830777634,0.033932351545988476,0.028808318259812896,0.02615027809006701,0.009390538800565104,0.01668662624664899,0.03553784940905919,0.025574375455056374,0.032542648646445856,0.00887234009949041,0.06867783378928158,0.006953157339634921,0.018293092378967823,0.007075283408918121,0.030671687592501738,0.01570484089897067,0.017732575692509963,0.03392518221053955,0.023444057921818803,0.024162271714476866,0.019119600695099985,0.0706812443171102,0.031980116575161276,0.06998997178272354
T1900044949_TA20190002_bin.55,0.009075701647001942,0.03750022722295985,0.005759563723129368,0.04445209176174683,0.04062284234749161,0,0.049493386519559535,0.01562554418974931,0.0724591850436067,0.01744017386113802,0.03538016769265099,0.014420196023180254,0.12902501625044255,0.02113503202531398,0,0.027854279151234375,0.005617216903285491,0.007454869540693108,0.0996751767842923,0.03903865830644093,0.08388639159395364,0.09016584987213003,0.033753742247698976,0.009057868268361103,0.037090237578554515,0.03485788533175283,0.0393607271236197,0.03590710387897916,0.044936396982379126,0.009146774361666658,0.026291595496993652,0.03988464918296074,0.11601380703248755,0.039760010568694715,0.014955702830587083,0.03644282603651279,0.03727385059089334,0.03572671087354916,0.01578395731747724,0.08711341504938416,0.02848758009379056,0.0263420001121897,0.07695558997254005,0.08108407077144753,0.011692049274185675,0.0852915939720264,0.02941010113249115,0.07856713888633049,0.013290514004609644,0.012184066091211272,0.014387481205483011,0.005904152231926499,0.011754128322830978,0.006696531706266668,0.013539404918859552,0.11414379091137435,0.01270362510062832,0.019916533300087736,0.012082718814594705,0.031298003493173535,0.14846078743484403,0.09498314814667473,0.15953351553938386,0.007578799083985744,0.033127441484447864,0.11599111723841905,0.0246663604197105,0,0.026481176402356598,0.01979548168536025,0.005358363575695754,0.006540706062849736,0.016328565535756685,0.024531236640761456,0.020177548862999974,0.012238036339528233,0,0.13174322679672265,0.016567065362234214
T1900044950_TA20190003_bin.248,0.012645861913322334,0.012600549102909461,0.07300889262006431,0.034103271545224724,0.04881702203470617,0.18584341293943638,0.02122801969255884,0.04642977245518109,0.05073480403080891,0.08532901327207772,0.027593004097676118,0.04652346621388644,0.051542767300880935,0.049297297107410126,0.024420377631746697,0.2150865991956673,0.025745771970962474,0.025065721067207152,0.017739526903695024,0.011065521086028436,0.021200315102735946,0.03000754029468984,0.006959812267748737,0.008612434484405847,0.010901039840170965,0,0,0,0,0.010701060162300869,0,0.007553023353408949,0.014657465804681897,0,0.008430695277792081,0.012237003014965728,0.008478081204157753,0.007201282038144547,0.009872405338539295,0.022597721014279003,0,0.011481858637297927,0.018857522423573612,0.021224792218455107,0.009654779487996604,0.03148349143710615,0.005951758313120764,0.031117254039116044,0.022531773819243848,0.013988440817954082,0.020562452767702848,0.02677381775940929,0.012786753086885622,0.023496474008383252,0.014222777643986917,0.015140337123352526,0.012721656500552262,0.01564230789509019,0.010543679360817983,0.04985907380949171,0,0.024223510170233203,0,0.026519124626478527,0.04537715627676589,0.02101042471475153,0.017793329203603242,0.02774521054040731,0.0226739520216499,0.04872541209965244,0.029194809069810732,0.014733751511531652,0.006925456028271035,0.020879751789895956,0.047734424192687114,0.025290726626680485,0.0195139565256964,0,0.006996591479467992
T1900044951_TA20190004_bin.119,0.041141120871582004,0.09510589233253083,0.031237104635206257,0.06395739433885127,0.011909326184699672,0,0.17821948986505973,0.03335999336550162,0,0,0.2089267358833656,0.031535186591379154,0.2769399678001489,0,0,0.08182415028050746,0,0.04278060284085794,0.035442502184282285,0.06262908677281936,0.04395300263695124,0.020203693644718967,0.2078650217538489,0.19577259686325071,0.058071818475508755,0.07594102257904542,0.05746611106482194,0.059181053736943205,0.06373665254415808,1.3612863175311694,0.12118614504760246,0.044623643072260105,0.08342371366204288,0.039845540902372044,0.3549023805840415,0.05981664931179659,0.056605876494491926,0.07372486418383124,0.18689529578127992,0.02715945913451456,0.12484670351165987,0.12291442414414644,0.08381178502818822,0.07472821124203394,0.5749562610359178,0.015990525601774438,0.17063843999941192,0.03925203415554154,0.029289696494228284,0.0596769481824362,0.036135080280960706,0.0448675796962817,0,0.021589659607107327,0,0.009573271605412206,0,0.11126258934596513,0,0,0.013313279832683357,0.027832594312270212,0.018576062175255054,0.017400934824267512,0,0.03674760258585043,0.028342599492084793,0.02485418280460656,0.03487031077053729,0.010060052898384743,0.048860647125816684,0.015023849515588807,0,0,0.00945516835002372,0.028233862541342497,0.08273844057159971,0.027781211622704118,0.20883291422532313
