mash_dist,count,database
0.08299999999999999,208,GTDB
0.08399999999999999,209,GTDB
0.08499999999999999,209,GTDB
0.086,210,GTDB
0.087,214,GTDB
0.088,217,GTDB
0.089,219,GTDB
0.09,220,GTDB
0.091,222,GTDB
0.092,225,GTDB
0.093,226,GTDB
0.094,226,GTDB
0.095,230,GTDB
0.096,232,GTDB
0.097,233,GTDB
0.09799999999999999,234,GTDB
0.09899999999999999,238,GTDB
0.09999999999999999,241,GTDB
0.10099999999999999,244,GTDB
0.102,246,GTDB
0.103,247,GTDB
0.104,247,GTDB
0.105,250,GTDB
0.106,254,GTDB
0.107,257,GTDB
0.108,259,GTDB
0.109,260,GTDB
0.11,262,GTDB
0.111,264,GTDB
0.112,269,GTDB
0.113,274,GTDB
0.114,279,GTDB
0.11499999999999999,281,GTDB
0.11599999999999999,281,GTDB
0.11699999999999999,285,GTDB
0.118,287,GTDB
0.119,292,GTDB
0.12,297,GTDB
0.121,301,GTDB
0.122,305,GTDB
0.123,307,GTDB
0.124,312,GTDB
0.125,315,GTDB
0.126,317,GTDB
0.127,323,GTDB
0.128,329,GTDB
0.129,332,GTDB
0.13,334,GTDB
0.131,336,GTDB
0.132,340,GTDB
0.133,342,GTDB
0.134,344,GTDB
0.135,348,GTDB
0.136,352,GTDB
0.137,358,GTDB
0.138,360,GTDB
0.139,365,GTDB
0.14,372,GTDB
0.14100000000000001,381,GTDB
0.14200000000000002,389,GTDB
0.14300000000000002,393,GTDB
0.14400000000000002,397,GTDB
0.14500000000000002,401,GTDB
0.14600000000000002,409,GTDB
0.14700000000000002,413,GTDB
0.14800000000000002,420,GTDB
0.14900000000000002,428,GTDB
0.15000000000000002,431,GTDB
0.15100000000000002,436,GTDB
0.15200000000000002,444,GTDB
0.15300000000000002,450,GTDB
0.15400000000000003,457,GTDB
0.155,465,GTDB
0.156,476,GTDB
0.157,486,GTDB
0.158,493,GTDB
0.159,502,GTDB
0.16,510,GTDB
0.161,519,GTDB
0.162,530,GTDB
0.163,538,GTDB
0.164,549,GTDB
0.165,556,GTDB
0.166,560,GTDB
0.167,571,GTDB
0.168,581,GTDB
0.169,592,GTDB
0.17,602,GTDB
0.171,613,GTDB
0.17200000000000001,620,GTDB
0.17300000000000001,633,GTDB
0.17400000000000002,643,GTDB
0.17500000000000002,655,GTDB
0.17600000000000002,661,GTDB
0.17700000000000002,675,GTDB
0.17800000000000002,683,GTDB
0.17900000000000002,698,GTDB
0.18000000000000002,714,GTDB
0.18100000000000002,719,GTDB
0.18200000000000002,736,GTDB
0.18300000000000002,744,GTDB
0.18400000000000002,758,GTDB
0.18500000000000003,769,GTDB
0.186,778,GTDB
0.187,792,GTDB
0.188,805,GTDB
0.189,821,GTDB
0.19,835,GTDB
0.191,852,GTDB
0.192,869,GTDB
0.193,888,GTDB
0.194,907,GTDB
0.195,924,GTDB
0.196,936,GTDB
0.197,964,GTDB
0.198,988,GTDB
0.199,1007,GTDB
0.2,1022,GTDB
