Rank	Taxon	Counts
Species	Alistipes finegoldii	1
Species	Bacteroides thetaiotaomicron	1
Genus	Butyricicoccus	1
Species	Bacteroides fragilis	1
Genus	GCA-900066135	3
Genus	UBA1685	3
Species	Acinetobacter lwoffii_B	1
Genus	RUG762	1
Family	MARSEILLE-P3954	2
Genus	UBA9502	2
Species	Bacteroides congonensis	1
Genus	UMGS1397	1
Genus	UBA1221	1
Genus	UMGS1826	1
Genus	KLE1615	1
Genus	UMGS995	1
Genus	UBA8514	1
Genus	UMGS1518	1
Genus	UMGS1540	1
Species	Rs-D84 sp900320405	1
Genus	UMGS1690	1
Genus	Hungatella_A	3
Genus	Bariatricus	1
Species	Oxalobacter formigenes_B	1
Species	Akkermansia muciniphila	1
Species	UBA7488 sp002477185	1
Genus	CAG-41	2
Genus	QALA01	1
Species	UBA1436 sp900319885	1
Genus	Flavonifractor	1
Genus	UMGS1045	1
Genus	Ruminococcus_C	2
Genus	NK4A144	1
Order	Rickettsiales	1
Family	UBA1997	1
Genus	CAG-433	1
Genus	UBA1754	1
Family	Shewanellaceae	1
Genus	Shewanella	1
Class	Desulfarculia	1
Order	Adiutricales	1
Family	Adiutricaceae	1
Genus	Bilophila	1
