SGB_ID,Event,Genus,Co-phylogeny_rate,Host-swap_rate
SGB_4161,Non-specific,g__UBA1723,0.604938272,0.395061728
SGB_6412,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_10465,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_12684,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_7236,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_4892,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_631,Non-specific,g__UBA1723,0.604938272,0.395061728
SGB_13107,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_5135,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_11390,Non-specific,g__HGM04593,0.66,0.34
SGB_12941,Non-specific,g__Phocaeicola_A,0.578947368,0.421052632
SGB_12512,Non-specific,g__HGM04593,0.66,0.34
SGB_9012,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_6055,Non-specific,g__NK4A136,0.615384615,0.384615385
SGB_6616,Non-specific,g__HGM04593,0.66,0.34
SGB_4543,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_4736,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_8398,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_8148,Non-specific,g__RGIG4576,0.627906977,0.372093023
SGB_1517,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_1363,Non-specific,g__HGM04593,0.66,0.34
SGB_9267,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_8474,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_12072,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_5387,Non-specific,g__Prevotella,0.703703704,0.296296296
SGB_11619,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_5283,Non-specific,g__SFLA01,0.875,0.125
SGB_13686,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_4842,Non-specific,g__UBA4372,0.586206897,0.413793103
