Genus,Event,Co-phylogeny_rate,Host-swap_rate,SGB Name,More,Less,pNpS_ratio,Taxonomy
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_10050,0.008163265,0.987755102,0.093756004,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015059865
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_10051,0.001996008,0.998003992,0.085979954,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017465605
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_10259,0,0.996978852,0.103674541,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017621455
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_10316,0.003389831,0.994915254,0.072026022,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015060115
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_10350,0.00665779,0.992010652,0.098070131,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017416915
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_10465,0.005235602,0.990401396,0.103917345,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015059805
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_10764,0.007496252,0.988005997,0.127115611,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017408825
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_10936,0.001191895,0.99523242,0.056876939,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015060045
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_11014,0,0.998293515,0.079566004,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017436185
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_11206,0.006745363,0.991568297,0.067045455,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015059845
