MAGs	Host
TP20200825-WDL105_DT2009055616-1_bin.81	Tibetan_Antelope
TP20200825-WDL108_DT2009055617-1_bin.113	Tibetan_Antelope
TP20200825-WDL112_DT2009055618-1_bin.147	Tibetan_Antelope
TP20200825-WDL119_DT2009055619-1_bin.191	Tibetan_Antelope
TP20200825-WDL19_DT2009055595-1_bin.220	Tibetan_Antelope
TP20200825-WDL45_DT2009055600-1_bin.67	Tibetan_Antelope
TP20200825-WDL48_DT2009055601-1_bin.111	Tibetan_Antelope
TP20200825-WDL51_DT2009055604-1_bin.37	Tibetan_Antelope
TP20200825-WDL57_DT2009055605-1_bin.223	Tibetan_Antelope
TP20200825-WDL73_DT2009055608-1_bin.36	Tibetan_Antelope
TP20200825-WDL7_DT2009055593-1_bin.16	Tibetan_Antelope
TP20200825-WDL87_DT2009055612-1_bin.82	Tibetan_Antelope
TP20200825-WDL92_DT2009055613-1_bin.95	Tibetan_Antelope
TP20200825-WDL96_DT2009055614-1_bin.4	Tibetan_Antelope
TP20200812-DBC103_DT2009055326-1_bin.89	Tibetan_Antelope
TP20200812-DBC105_DT2009055328-1_bin.40	Tibetan_Antelope
TP20200812-DBC27_DT2009055250-1_bin.89	Tibetan_Antelope
TP20200812-DBC28_DT2009055251-1_bin.216	Tibetan_Antelope
TP20200812-DBC34_DT2009055257-1_bin.322	Tibetan_Antelope
TP20200812-DBC45_DT2009055268-1_bin.204	Tibetan_Antelope
TP20200812-DBC48_DT2009055271-1_bin.18	Tibetan_Antelope
TP20200812-DBC49_DT2009055272-1_bin.446	Tibetan_Antelope
TP20200812-DBC62_DT2009055285-1_bin.266	Tibetan_Antelope
TP20200812-DBC66_DT2009055289-1_bin.67	Tibetan_Antelope
TP20200812-DBC71_DT2009055294-1_bin.19	Tibetan_Antelope
TP20200812-DBC73_DT2009055296-1_bin.68	Tibetan_Antelope
TP20200812-DBC75_DT2009055298-1_bin.8	Tibetan_Antelope
TP20200812-DBC77_DT2009055300-1_bin.305	Tibetan_Antelope
TP20200812-DBC85_DT2009055308-1_bin.282	Tibetan_Antelope
TP20200812-DBC88_DT2009055311-1_bin.202	Tibetan_Antelope
TP20200814-DZC15_DT2009055343-1_bin.87	Tibetan_Sheep
TP20200814-DZC18_DT2009055346-1_bin.262	Tibetan_Sheep
TP20200814-DZC26_DT2009055354-1_bin.37	Tibetan_Sheep
TP20200814-DZC41_DT2009055369-1_bin.85	Tibetan_Antelope
TP20200814-DZC67_DT2009055395-1_bin.255	Tibetan_Sheep
TP20200814-DZC74_DT2009055402-1_bin.333	Tibetan_Antelope
TP20200814-DZC77_DT2009055405-1_bin.244	Tibetan_Sheep
TP20200814-DZC9_DT2009055337-1_bin.141	Tibetan_Sheep
T1900045083_TC20190077_bin.109	Tibetan_Cattle
T1900045159_TC20190153_bin.115	Tibetan_Cattle
T1900045166_TC20190160_bin.144	Tibetan_Cattle
T1900045179_TC20190175_bin.32	Tibetan_Cattle
T1900045774_TC20190228_bin.147	Tibetan_Cattle
T1900044581_TS20190047_bin.193	Tibetan_Sheep
T1900044583_TS20190049_bin.195	Tibetan_Sheep
T1900044586_TS20190052_bin.114	Tibetan_Sheep
T1900044593_TS20190059_bin.21	Tibetan_Sheep
T1900044595_TS20190061_bin.106	Tibetan_Sheep
T1900044602_TS20190068_bin.214	Tibetan_Sheep
T1900044604_TS20190070_bin.122	Tibetan_Sheep
T1900044605_TS20190071_bin.269	Tibetan_Sheep
T1900044608_TS20190074_bin.19	Tibetan_Sheep
T1900044622_TS20190088_bin.287	Tibetan_Sheep
T1900044634_TS20190100_bin.180	Tibetan_Sheep
T1900044637_TS20190103_bin.177	Tibetan_Sheep
T1900044646_TS20190112_bin.221	Tibetan_Sheep
T1900044653_TS20190119_bin.225	Tibetan_Sheep
T1900044661_TS20190127_bin.516	Tibetan_Sheep
T1900044665_TS20190131_bin.127	Tibetan_Sheep
T1900044670_TS20190136_bin.368	Tibetan_Sheep
T1900044677_TS20190143_bin.338	Tibetan_Sheep
T1900044678_TS20190144_bin.67	Tibetan_Sheep
T1900044680_TS20190146_bin.290	Tibetan_Sheep
T1900044699_TS20190165_bin.95	Tibetan_Sheep
T1900044708_TS20190174_bin.163	Tibetan_Sheep
T1900044740_TS20190206_bin.225	Tibetan_Sheep
T1900044746_TS20190212_bin.38	Tibetan_Sheep
T1900044747_TS20190213_bin.139	Tibetan_Sheep
T1900044752_TS20190418_bin.435	Tibetan_Sheep
T1900044799_TS20190265_bin.52	Tibetan_Sheep
T1900044804_TS20190270_bin.125	Tibetan_Sheep
T1900044807_TS20190273_bin.301	Tibetan_Sheep
T1900044809_TS20190275_bin.76	Tibetan_Sheep
T1900044812_TS20190278_bin.199	Tibetan_Sheep
T1900044818_TS20190284_bin.43	Tibetan_Sheep
T1900044821_TS20190287_bin.67	Tibetan_Sheep
